course,classroom
ENG20021.1,NMH 410A
GEK10000.2,NTH 213
GEK10021.1,NTH 213
GEK10022.1,OH 403
GEK10022.2,OH 403
GEK10033.1,HDH 418B
GEK10038.1,HDH 419
GEK10038.3,HDH 419
GEK10040.1,OH 401
GEK10042.1,OH 405
GEK10045.14,NMH 404
GEK10055.4,NMH 410A
GEK10056.1,NMH 410A
GEK10057.1,NMH 410A
GEK10057.2,NMH 105
GEK10057.3,NMH 404
GEK10059.3,NTH 313
GEK10059.4,NTH 313
GEK10060.1,NMH 404
GEK10062.1,OH 403
GEK10062.2,OH 403
GEK10095.2,HDH 425B
GEK10096.1,HDH 303A
GEK10096.2,ANH 313
GEK10096.3,HDH 425B
GEK20011.1,NMH 410A
GEK20011.2,OH 421
GEK20011.3,OH 421
GEK20016.1,NMH 403
GEK20021.1,NTH 213
GEK20021.2,NTH 115
GEK20028.3,NMH 402
GEK20042.2,OH 402
GEK20044.1,HDH 425B
GEK20045.1,NMH 403
GEK20053.1,HDH 320A
GEK30014.2,OH 405
GEK30046.1,GLC 204
GEK40094.1,SU 101
GEK40096.1,OH 403
GEK40096.2,NMH 402
ISL10071.1,OH 420
ISL10071.2,OH 420
ISL10074.1,OH 420
ISL10075.2,NMH 104A
ISL10075.4,HDH 303B
ISL10075.6,NMH 108
ISL10075.7,NMH 108
ISL10075.8,NMH 108
ISL10075.9,NMH 108
ISL10075.11,HDH 303B
ISL10091.1,NMH 109
ISL10091.2,NMH 109
ISL20077.1,NMH 104A
PCO10012.1,GLC 202
PCO10012.2,GLC 202
PCO10012.3,GLC 304
PCO10012.4,GLC 202
PCO10012.5,GLC 202
PCO10012.6,GLC 202
PCO10012.7,GLC 304
PCO10012.8,GLC 304
PCO10012.9,GLC 304
PCO10012.14,GLC 301
PCO10013.1,GLC 302
PCO10013.2,GLC 302
PCO10013.3,GLC 302
PCO10013.4,GLC 303
PCO10013.5,GLC 302
PCO10013.6,GLC 302
PCO10013.7,GLC 106
PCO10013.9,GLC 106
PCO10015.1,HDH 303A
PCO10024.1,HDH 418B
PCO10024.2,HDH 418B
PCO10058.4,OH 302
PCO10058.5,OH 302
PCO10058.6,HDH 424
PCO10058.8,HDH 402
PCO10058.9,HDH 402
PCO10058.10,HDH 424
PCO10058.14,HDH 402
PCO10058.15,HDH 402
PCO10058.16,HDH 402
PCO10058.17,HDH 403
PCO10058.18,HDH 403
PCO20004.1,GLC 101
PCO20004.2,GLC 305
PCO20004.3,GLC 305
PCO20004.4,GLC 301
PCO20004.5,GLC 301
PCO20004.7,GLC 305
PCO20004.8,GLC 305
PCO20004.9,GLC 305
PCO20005.1,GLC 305
GEA10035.1,NTH 214
GEA20002.1,NTH 113
GEA20008.1,ANH 313
GEA20051.1,NTH 214
GEA40002.1,NTH 113
ISE10051.1,NMH 105
ISE10051.2,HDH 318
ISE10052.1,HDH 318
ISE10052.2,NMH 105
CCC20053.1,NMH 410A
CCC20072.1,NMH 410B
GMP10001.2,NMH 106
GMP10001.3,NMH 105
MEC10001.2,OH 405
MEC10002.1,NMH 106
MEC10002.3,NMH 106
MEC10002.4,NMH 105
LAW10004.1,ANH 302
UIL30051.1,ANH 305
ECE20016.2,OH 402
IID10004.1,NMH 206B
IID10004.2,NMH 206B
IID10005.1,NMH 204
IID30018.1,OH 305
CUE20003.2,NTH 215
CUE20005.1,NTH 212
CUE20052.1,NTH 313
