년도,semester,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2013,1,글로벌리더십학부,ENG10062,사회학개론,1,주간,교양필수,정태식,3,60,Y,OH 401,50,"월2,월3",일반과목,Y,1,GEK10040,1,C,Y,,,W12,사회
2013,1,글로벌리더십학부,ENG20021,일반생물학,1,주간,교양필수,서병선,3,30,Y,NMH 410A,14,"월5,목5",일반과목,N,1,GEK10057,1,C,N,,,W14,자연
2013,1,글로벌리더십학부,GEE20034,Cross-Cultural Global Perspectives,1,주간,교양필수,정일권,3,40,Y,OH 401,14,"목2,목3",일반과목,Y,1,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEE30023,Developing Leadership for a Global World,1,주간,교양선택,정일권,3,40,Y,OH 402,23,"목4,목5",일반과목,Y,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK10000,Elementary Calculus,2,주간,교양필수,이한진,4,20,Y,NTH 213,41,"월3,월4,목3,목4",일반과목,Y,1,,,,N,100분수업/1학년우선수강/경영경제수학 이수한 학생 수강불가,,W13,수학
2013,1,글로벌리더십학부,GEK10021,생활체육 1,1,주간,교양선택,배치헌,1,20,Y,NTH 213,20,"목5,목6",성적만P/F나감,N,1,,,,N,테니스,,W16,리더십
2013,1,글로벌리더십학부,GEK10022,수화1,1,주간,교양선택,이지영,2,40,Y,OH 403,71,"월5,목5",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK10022,수화1,2,주간,교양선택,이지영,2,40,Y,OH 403,53,"월6,목6",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK10033,한국문학의이해,1,주간,교양필수,김윤규,3,60,Y,HDH 418B,57,"월6,목6",일반과목,N,1,,,,N,,,W10,인문
2013,1,글로벌리더십학부,GEK10038,물리학실험1,1,주간,교양필수,조현지,1,25,Y,HDH 419,15,"월4,월5",일반과목,N,1,,,,N,14:05-15:45,,W14,자연
2013,1,글로벌리더십학부,GEK10038,물리학실험1,3,주간,교양필수,조현지,1,25,Y,HDH 419,20,"목4,목5",일반과목,N,1,,,,N,14:05-15:45,,W14,자연
2013,1,글로벌리더십학부,GEK10040,사회학개론,1,주간,교양필수,정태식,3,60,Y,OH 401,50,"월2,월3",일반과목,Y,1,GEK10040,1,D,Y,,,W12,사회
2013,1,글로벌리더십학부,GEK10042,사회복지개론,1,주간,교양선택,강병덕외 3명,3,120,Y,OH 405,123,"월3,목3",일반과목,N,1,,,,N,,,W18,전공기초
2013,1,글로벌리더십학부,GEK10045,Christian Foundation 1,14,주간,교양필수,Gregory T. Brown,2,60,Y,NMH 404,65,"월5,목5",일반과목,Y,1,,,,N,1학년 우선 수강,,W07,신앙2
2013,1,글로벌리더십학부,GEK10055,물리학 1,4,주간,교양필수,권영건,3,40,Y,NMH 410A,61,"월6,목6",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10056,물리학 2,1,주간,교양필수,권영건,3,40,Y,NMH 410A,24,"월7,목7",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10057,일반생물학,1,주간,교양필수,서병선,3,30,Y,NMH 410A,36,"월5,목5",일반과목,N,1,GEK10057,1,D,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10057,일반생물학,2,주간,교양필수,곽진환외 4명,3,80,Y,NMH 105,89,"월1,목1",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10057,일반생물학,3,주간,교양필수,WilhelmHolzapfel,3,60,Y,NMH 404,51,"월2,목2",일반과목,Y,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10059,환경과 인간,3,주간,교양필수,김주일외 2명,3,50,Y,NTH 313,56,"월3,목3",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10059,환경과 인간,4,주간,교양필수,도형기,3,60,Y,NTH 313,77,"월5,목5",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10060,식품과 건강,1,주간,교양필수,신현길외 2명,3,60,Y,NMH 404,48,"월3,목3",일반과목,N,1,,,,N,,,W14,자연
2013,1,글로벌리더십학부,GEK10062,미술의 이해,1,주간,교양선택,김민지,3,80,Y,OH 403,80,"월2,목2",일반과목,N,1,,,,N,,,W17,예술
2013,1,글로벌리더십학부,GEK10062,미술의 이해,2,주간,교양선택,김민지,3,80,Y,OH 403,58,"월3,목3",일반과목,N,1,,,,N,,,W17,예술
2013,1,글로벌리더십학부,GEK10095,Calculus 1,2,주간,교양필수,김광익,3,40,Y,HDH 425B,55,"월2,목2",일반과목,N,1,,,,N,1학년우선수강,,W13,수학
2013,1,글로벌리더십학부,GEK10096,Calculus 2,1,주간,교양필수,김성옥,3,40,Y,HDH 303A,35,"월1,목1",일반과목,Y,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK10096,Calculus 2,2,주간,교양필수,김성옥,3,70,Y,ANH 313,72,"월2,목2",일반과목,N,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK10096,Calculus 2,3,주간,교양필수,김성옥,3,55,Y,HDH 425B,53,"월3,목3",일반과목,N,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK20011,기독교 세계관,1,주간,교양필수,곽진환,2,60,Y,NMH 410A,45,"목3,목4",일반과목,N,1,,,,N,100분,,W08,세계관1
2013,1,글로벌리더십학부,GEK20011,기독교 세계관,2,주간,교양필수,최용준,2,40,Y,OH 421,40,"월3,월4",일반과목,N,1,,,,N,100분,,W08,세계관1
2013,1,글로벌리더십학부,GEK20011,기독교 세계관,3,주간,교양필수,최용준,2,40,Y,OH 421,12,"목3,목4",일반과목,Y,1,,,,N,100분,,W08,세계관1
2013,1,글로벌리더십학부,GEK20016,신앙특론,1,주간,교양선택,김형겸,3,60,Y,NMH 403,62,"월5,목5",일반과목,N,1,,,,N,기독교 변증론,,W09,세계관2
2013,1,글로벌리더십학부,GEK20021,생활체육 2,1,주간,교양선택,배치헌,1,20,Y,NTH 213,18,"목7,목8",성적만P/F나감,N,1,,,,N,테니스,,W16,리더십
2013,1,글로벌리더십학부,GEK20021,생활체육 2,2,주간,교양선택,지승원,1,30,Y,NTH 115,30,목6,성적만P/F나감,N,1,,,,N,태권도,,W16,리더십
2013,1,글로벌리더십학부,GEK20028,인간관계와자기성장,3,주간,교양선택,김세준,3,40,Y,NMH 402,24,"목2,목3",일반과목,N,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEK20042,교육학개론,2,주간,교양필수,이은실,3,40,Y,OH 402,38,"월4,월5",일반과목,N,1,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEK20044,시민생활과 법,1,주간,교양필수,임은호,3,60,Y,HDH 425B,45,"월6,월7",일반과목,N,1,,,,N,"법학부 3,4학년 수강불가",,W12,사회
2013,1,글로벌리더십학부,GEK20045,Christian Foundation 2,1,주간,교양필수,김형겸,2,60,Y,NMH 403,63,"월3,목3",일반과목,N,1,,,,N,,,W07,신앙2
2013,1,글로벌리더십학부,GEK20053,통계학,1,주간,교양필수,김헌주,3,40,Y,HDH 320A,42,"월3,목3",일반과목,N,1,,,,N,,,W13,수학
2013,1,글로벌리더십학부,GEK30014,기독교와현대사상,2,주간,교양선택,최용준,3,80,Y,OH 405,80,"월5,목5",일반과목,Y,1,,,,N,,,W09,세계관2
2013,1,글로벌리더십학부,GEK30046,English Pre-Course,1,주간,교양선택,김영칠,3,0,Y,GLC 204,4,"월3,목3",일반과목,Y,1,,,,N,,,W19,외국어
2013,1,글로벌리더십학부,GEK40094,교양특론1,1,주간,교양선택,한지훈,1,25,Y,SU 101,25,월4,일반과목,N,1,,,,N,주제: 교회실용반주(Guitar),,W16,리더십
2013,1,글로벌리더십학부,GEK40096,교양특론,1,주간,교양선택,김민지,3,60,Y,OH 403,26,"월4,목4",일반과목,N,1,,,,N,주제 : 예술과시각문화,,W16,리더십
2013,1,글로벌리더십학부,GEK40096,교양특론,2,주간,교양선택,유영익,3,40,Y,NMH 402,4,"월4,월5",일반과목,N,1,,,,N,주제:한국근대사를 빛낸 인물,1,W16,리더십
