year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2013,1,ENG20022,1,"T5,F5",NMH 404,60,45,"[17, 53]",ENG20022.1
2013,1,GEE40097,1,"T2,T3",NMH 105,40,92,"[14, 15]",GEE40097.1
2013,1,GEK10000,1,"T4,T5,F4,F5",OH 306,40,33,"[16, 17, 52, 53]",GEK10000.1
2013,1,GEK10017,1,"T2,F2",HDH 418B,60,61,"[14, 50]",GEK10017.1
2013,1,GEK10017,2,"T3,F3",HDH 418B,60,18,"[15, 51]",GEK10017.2
2013,1,GEK10021,3,T7,NTH 115,30,44,[19],GEK10021.3
2013,1,GEK10030,1,"T3,F3",OH 405,150,155,"[15, 51]",GEK10030.1
2013,1,GEK10035,1,"T5,F5",HDH 418B,60,60,"[17, 53]",GEK10035.1
2013,1,GEK10035,2,"T6,F6",HDH 418B,60,60,"[18, 54]",GEK10035.2
2013,1,GEK10035,3,"T4,T5",OH 305,60,42,"[16, 17]",GEK10035.3
2013,1,GEK10036,1,"T8,T9",HDH 418B,60,42,"[20, 21]",GEK10036.1
2013,1,GEK10037,1,"T8,T9",OH 305,60,55,"[20, 21]",GEK10037.1
2013,1,GEK10037,2,"T6,T7",OH 305,60,59,"[18, 19]",GEK10037.2
2013,1,GEK10038,4,"F3,F4",HDH 419,25,15,"[51, 52]",GEK10038.4
2013,1,GEK10040,2,"T2,F2",HDH 425B,60,59,"[14, 50]",GEK10040.2
2013,1,GEK10041,1,"T2,F2",OH 403,60,85,"[14, 50]",GEK10041.1
2013,1,GEK10041,2,"F2,F3",OH 402,50,59,"[50, 51]",GEK10041.2
2013,1,GEK10045,1,"T2,F2",NMH 403,60,61,"[14, 50]",GEK10045.1
2013,1,GEK10045,2,"T3,F3",NMH 403,60,60,"[15, 51]",GEK10045.2
2013,1,GEK10045,3,"T2,F2", ,50,52,"[14, 50]",GEK10045.3
2013,1,GEK10045,4,"T3,F3",OH 421,60,64,"[15, 51]",GEK10045.4
2013,1,GEK10045,5,"T2,F2",OH 405,60,75,"[14, 50]",GEK10045.5
2013,1,GEK10045,6,"T3,F3",OH 401,60,71,"[15, 51]",GEK10045.6
2013,1,GEK10045,7,"T2,F2",NMH 404,60,57,"[14, 50]",GEK10045.7
2013,1,GEK10045,8,"T3,F3",HDH 425B,60,59,"[15, 51]",GEK10045.8
2013,1,GEK10045,9,"T4,T5",OH 403,60,64,"[16, 17]",GEK10045.9
2013,1,GEK10045,10,"T5,T6", ,60,64,"[17, 18]",GEK10045.10
2013,1,GEK10045,11,"T4,T5",NMH 410A,60,74,"[16, 17]",GEK10045.11
2013,1,GEK10045,12,"T5,T6",NMH 410A,60,86,"[17, 18]",GEK10045.12
2013,1,GEK10045,13,"T3,T4",NMH 108,60,34,"[15, 16]",GEK10045.13
2013,1,GEK10053,1,"T6,F6",NTH 313,40,46,"[18, 54]",GEK10053.1
2013,1,GEK10055,1,"T2,F2",HDH 323C,40,28,"[14, 50]",GEK10055.1
2013,1,GEK10055,2,"T2,F2",NMH 207,30,46,"[14, 50]",GEK10055.2
2013,1,GEK10055,3,"T3,F3",NTH 214,40,42,"[15, 51]",GEK10055.3
2013,1,GEK10058,1,"T5,F5",NMH 404,60,45,"[17, 53]",GEK10058.1
2013,1,GEK10058,2,"T5,F5",NMH 403,60,40,"[17, 53]",GEK10058.2
2013,1,GEK10059,1,"T2,F2",NMH 410A,60,59,"[14, 50]",GEK10059.1
2013,1,GEK10059,2,"T3,F3",OH 403,50,52,"[15, 51]",GEK10059.2
2013,1,GEK10061,1,"T2,F2",HCA 2Ãþ,40,41,"[14, 50]",GEK10061.1
2013,1,GEK10061,2,"T3,F3",HCA 2Ãþ,40,44,"[15, 51]",GEK10061.2
2013,1,GEK10066,1,"T2,F2",NTH 313,80,42,"[14, 50]",GEK10066.1
2013,1,GEK10070,1,"T3,F3",NMH 410A,60,47,"[15, 51]",GEK10070.1
2013,1,GEK10074,1,"T5,F5",NTH 115,40,22,"[17, 53]",GEK10074.1
2013,1,GEK10084,1,"T3,T4",NTH 115,15,6,"[15, 16]",GEK10084.1
2013,1,GEK10095,1,"T3,F3",OH 306,40,39,"[15, 51]",GEK10095.1
2013,1,GEK20017,1,"T5,F5",OH 420,40,34,"[17, 53]",GEK20017.1
2013,1,GEK20022,1,"T6,T7",HDH 425B,40,44,"[18, 19]",GEK20022.1
2013,1,GEK20028,1,"T2,T3",SU 101,60,67,"[14, 15]",GEK20028.1
2013,1,GEK20028,2,"T5,T6",SU 101,60,82,"[17, 18]",GEK20028.2
2013,1,GEK20031,1,"T3,F3",NTH 313,60,51,"[15, 51]",GEK20031.1
2013,1,GEK20031,2,"T5,F5",OH 402,60,51,"[17, 53]",GEK20031.2
2013,1,GEK20042,1,"T2,F2",HDH 303A,40,42,"[14, 50]",GEK20042.1
2013,1,GEK20051,1,"T5,T6",NMH 410B,60,26,"[17, 18]",GEK20051.1
2013,1,GEK30015,2,"T6,F6",OH 402,75,73,"[18, 54]",GEK30015.2
2013,1,GEK30022,1,"T2,T3",OH 402,65,60,"[14, 15]",GEK30022.1
2013,1,GEK30022,2,"T3,T4",NTH 115,15,1,"[15, 16]",GEK30022.2
2013,1,GEK30030,1,"T2,F2",OH 401,80,86,"[14, 50]",GEK30030.1
2013,1,GEK30045,1,"T3,F3",NMH 404,60,63,"[15, 51]",GEK30045.1
2013,1,GEK40096,3,"T5,F5",HCA 2Ãþ,40,42,"[17, 53]",GEK40096.3
2013,1,ISL10011,1,"T2,Th2",NMH 109,30,19,"[14, 38]",ISL10011.1
2013,1,ISL10011,2,"T3,Th3",NMH 109,30,18,"[15, 39]",ISL10011.2
2013,1,ISL10071,3,"T3,F3",OH 420,30,14,"[15, 51]",ISL10071.3
2013,1,ISL10071,4,"T3,T4",HDH 303A,30,9,"[15, 16]",ISL10071.4
2013,1,ISL10071,5,"T2,F2",OH 420,30,16,"[14, 50]",ISL10071.5
2013,1,ISL10073,1,"T1,F1",NTH 213,30,36,"[13, 49]",ISL10073.1
2013,1,ISL10073,2,"T2,F2",NTH 213,30,42,"[14, 50]",ISL10073.2
2013,1,ISL10075,1,"T2,F2",NMH 104A,35,43,"[14, 50]",ISL10075.1
2013,1,ISL10075,3,"T3,F3",HDH 303B,35,34,"[15, 51]",ISL10075.3
2013,1,ISL10075,5,"T5,F5",HDH 303B,35,38,"[17, 53]",ISL10075.5
2013,1,ISL10075,10,"T6,F6",NMH 108,35,36,"[18, 54]",ISL10075.10
2013,1,ISL10080,2,"T5,F5",GLC 204,25,15,"[17, 53]",ISL10080.2
2013,1,ISL10085,1,"T6,F6",NMH 104A,30,27,"[18, 54]",ISL10085.1
2013,1,ISL20077,2,"T1,F1",NMH 104A,25,25,"[13, 49]",ISL20077.2
2013,1,ISL20077,3,"T3,F3",NMH 104A,25,19,"[15, 51]",ISL20077.3
2013,1,ISL20077,4,"T2,F2",HDH 303B,25,14,"[14, 50]",ISL20077.4
2013,1,PCO10012,10,"T1,F1",GLC 106,22,25,"[13, 49]",PCO10012.10
2013,1,PCO10012,11,"T3,F3",GLC 106,22,23,"[15, 51]",PCO10012.11
2013,1,PCO10012,12,"T4,F4",GLC 106,22,22,"[16, 52]",PCO10012.12
2013,1,PCO10012,13,"T2,F2",GLC 101,22,23,"[14, 50]",PCO10012.13
2013,1,PCO10012,15,"T5,F5",GLC 101,22,22,"[17, 53]",PCO10012.15
2013,1,PCO10012,16,"T3,F3",GLC 304,22,22,"[15, 51]",PCO10012.16
2013,1,PCO10012,17,"T5,F5",GLC 304,22,22,"[17, 53]",PCO10012.17
2013,1,PCO10012,18,"T6,F6",GLC 304,22,22,"[18, 54]",PCO10012.18
2013,1,PCO10012,20,"T4,F4",GLC 304,22,13,"[16, 52]",PCO10012.20
2013,1,PCO10013,10,"T1,F1",GLC 202,22,20,"[13, 49]",PCO10013.10
2013,1,PCO10013,11,"T3,F3",GLC 202,22,21,"[15, 51]",PCO10013.11
2013,1,PCO10013,12,"T5,F5",GLC 202,22,21,"[17, 53]",PCO10013.12
2013,1,PCO10013,13,"T1,F1",GLC 101,22,22,"[13, 49]",PCO10013.13
2013,1,PCO10013,14,"T3,F3",GLC 101,22,21,"[15, 51]",PCO10013.14
2013,1,PCO10013,15,"T6,F6",GLC 101,22,21,"[18, 54]",PCO10013.15
2013,1,PCO10024,3,"T5,F5",HDH 303A,60,31,"[17, 53]",PCO10024.3
2013,1,PCO10024,4,"T6,F6",HDH 303A,60,18,"[18, 54]",PCO10024.4
2013,1,PCO10053,1,"T2,F2",OH 302,30,28,"[14, 50]",PCO10053.1
2013,1,PCO10058,1,"T1,F1",HDH 424,45,47,"[13, 49]",PCO10058.1
2013,1,PCO10058,2,"T2,F2",HDH 424,45,48,"[14, 50]",PCO10058.2
2013,1,PCO10058,3,"T3,F3",HDH 424,45,45,"[15, 51]",PCO10058.3
2013,1,PCO10058,7,"T1,F1",OH 302,45,46,"[13, 49]",PCO10058.7
2013,1,PCO10058,11,"T1,F1",HDH 403,45,48,"[13, 49]",PCO10058.11
2013,1,PCO10058,12,"T2,F2",HDH 403,45,47,"[14, 50]",PCO10058.12
2013,1,PCO10058,13,"T3,F3",HDH 403,45,47,"[15, 51]",PCO10058.13
2013,1,PCO20004,10,"T1,F1",GLC 305,22,21,"[13, 49]",PCO20004.10
2013,1,PCO20004,11,"T2,F2",GLC 305,22,21,"[14, 50]",PCO20004.11
2013,1,PCO20004,13,"T3,F3",GLC 301,22,11,"[15, 51]",PCO20004.13
2013,1,PCO20004,14,"T4,F4",GLC 305,22,14,"[16, 52]",PCO20004.14
2013,1,PCO20004,15,"T3,F3",GLC 305,22,22,"[15, 51]",PCO20004.15
2013,1,PCO20004,16,"T5,F5",GLC 305,22,22,"[17, 53]",PCO20004.16
2013,1,PCO20004,17,"T5,F5",GLC 303,22,20,"[17, 53]",PCO20004.17
2013,1,PCO20004,18,"T6,F6",GLC 303,22,15,"[18, 54]",PCO20004.18
2013,1,PCO20005,9,"T1,F1",GLC 301,20,15,"[13, 49]",PCO20005.9
2013,1,PCO20005,10,"T2,F2",GLC 301,20,20,"[14, 50]",PCO20005.10
2013,1,PCO20005,11,"T4,F4",GLC 301,20,18,"[16, 52]",PCO20005.11
2013,1,PCO20005,12,"T2,F2",GLC 303,20,20,"[14, 50]",PCO20005.12
2013,1,PCO20005,13,"T3,F3",GLC 303,20,20,"[15, 51]",PCO20005.13
2013,1,PCO20005,14,"T3,F3",GLC 302,20,20,"[15, 51]",PCO20005.14
2013,1,PCO20005,15,"T4,F4",GLC 302,20,22,"[16, 52]",PCO20005.15
2013,1,PCO20005,16,"T2,F2",NTH 412,0,13,"[14, 50]",PCO20005.16
2013,1,PCO20005,17,"T3,F3",NTH 412,0,20,"[15, 51]",PCO20005.17
2013,1,PCO20016,1,"T5,F5",HDH 425B,30,15,"[17, 53]",PCO20016.1
2013,1,GEA20011,1,"T4,F4",NMH 410B,40,8,"[16, 52]",GEA20011.1
2013,1,GEA20021,1,"T3,F3",NTH 113,40,5,"[15, 51]",GEA20021.1
2013,1,ISE10002,1,"T2,F2",OH 305,50,69,"[14, 50]",ISE10002.1
2013,1,ISE10022,1,"T5,F5",HDH 320A,40,40,"[17, 53]",ISE10022.1
2013,1,ISE20006,1,"T3,F3",HDH 323C,40,24,"[15, 51]",ISE20006.1
2013,1,ISE20072,1,"T3,T4",HDH 326A,40,39,"[15, 16]",ISE20072.1
2013,1,ISE20074,1,"F2,F3",HDH 326A,40,32,"[50, 51]",ISE20074.1
2013,1,ISE20084,1,"T1,F1",HDH 418B,60,61,"[13, 49]",ISE20084.1
2013,1,ISE20085,1,"T5,T6",HDH 318,80,76,"[17, 18]",ISE20085.1
2013,1,ISE30052,1,"F4,F5",HDH 326A,40,43,"[52, 53]",ISE30052.1
2013,1,ISE30092,1,"T3,F3",HDH 320A,25,17,"[15, 51]",ISE30092.1
2013,1,ISE40013,1,"T5,F5",HDH 323C,40,13,"[17, 53]",ISE40013.1
2013,1,ISE40075,1,"T4,T5",HDH 320B,40,32,"[16, 17]",ISE40075.1
2013,1,ISE40082,1,"F2,F3",HDH 324,25,16,"[50, 51]",ISE40082.1
2013,1,CCC20050,1,"T2,F2",NMH 405,25,31,"[14, 50]",CCC20050.1
2013,1,CCC20051,1,"T3,F3",NMH 410B,30,30,"[15, 51]",CCC20051.1
2013,1,CCC20064,1,"T5,T6",NMH 307,30,54,"[17, 18]",CCC20064.1
2013,1,CCC20074,1,"F5,F6",NMH 410B,20,12,"[53, 54]",CCC20074.1
2013,1,CCC20077,1,"T6,T7",NMH 405,20,24,"[18, 19]",CCC20077.1
2013,1,CCC30067,1,"T4,T5",NMH 405,40,35,"[16, 17]",CCC30067.1
2013,1,CCC30074,1,"T8,T9",NMH 405,33,29,"[20, 21]",CCC30074.1
2013,1,CCC30083,1,"T6,T7",NMH 406,30,18,"[18, 19]",CCC30083.1
2013,1,CCC30094,1,"T4,T5",NMH 406,30,15,"[16, 17]",CCC30094.1
2013,1,CCC40094,1,"T6,T7",NMH 403,30,27,"[18, 19]",CCC40094.1
2013,1,GMP10001,1,"T1,F1",NMH 110,10,3,"[13, 49]",GMP10001.1
2013,1,GMP10003,1,"T2,F2",NMH 402,70,12,"[14, 50]",GMP10003.1
2013,1,GMP20002,1,"T2,F2",OH 421,5,3,"[14, 50]",GMP20002.1
2013,1,GMP20003,1,"T2,F2",NMH 307,5,8,"[14, 50]",GMP20003.1
2013,1,GMP20003,2,"T3,F3",NMH 307,5,9,"[15, 51]",GMP20003.2
2013,1,GMP20005,2,"T2,F2",NMH 107,5,2,"[14, 50]",GMP20005.2
2013,1,GMP20007,1,"T2,F2",NMH 110,5,3,"[14, 50]",GMP20007.1
2013,1,GMP20009,1,"T1,F1",NMH 106,5,5,"[13, 49]",GMP20009.1
2013,1,GMP20009,2,"T2,F2",NMH 106,5,4,"[14, 50]",GMP20009.2
2013,1,GMP30002,1,"T2,F2",NMH 310,5,5,"[14, 50]",GMP30002.1
2013,1,GMP30002,3,"T5,F5",NMH 110,5,3,"[17, 53]",GMP30002.3
2013,1,GMP30003,1,"T3,F3",NMH 107,5,9,"[15, 51]",GMP30003.1
2013,1,GMP30004,2,"T5,F5",NMH 103A,5,2,"[17, 53]",GMP30004.2
2013,1,GMP30007,1,"T3,F3",NMH 310,5,5,"[15, 51]",GMP30007.1
2013,1,GMP30009,1,"T3,F3",NMH 405,40,14,"[15, 51]",GMP30009.1
2013,1,GMP40011,1,"T4,F4",NMH 106,5,5,"[16, 52]",GMP40011.1
2013,1,MEC10001,1,"T3,F3",NMH 106,80,55,"[15, 51]",MEC10001.1
2013,1,MEC10001,3,"T2,F2",NMH 402,70,31,"[14, 50]",MEC10001.3
2013,1,MEC10002,2,"T1,F1",NMH 110,70,7,"[13, 49]",MEC10002.2
2013,1,MEC10002,5,"T5,F5",NMH 106,80,79,"[17, 53]",MEC10002.5
2013,1,MEC20001,2,"T2,F2",NMH 107,35,59,"[14, 50]",MEC20001.2
2013,1,MEC20003,1,"T2,F2",NMH 110,35,35,"[14, 50]",MEC20003.1
2013,1,MEC20003,3,"T1,F1",NMH 410B,40,59,"[13, 49]",MEC20003.3
2013,1,MEC20005,1,"T1,F1",NMH 106,35,76,"[13, 49]",MEC20005.1
2013,1,MEC20005,2,"T2,F2",NMH 106,35,69,"[14, 50]",MEC20005.2
2013,1,MEC20054,1,"T1,F1",NMH 107,40,58,"[13, 49]",MEC20054.1
2013,1,MEC20054,2,"T2,F2",OH 421,35,17,"[14, 50]",MEC20054.2
2013,1,MEC20055,1,"T2,F2",NMH 307,35,51,"[14, 50]",MEC20055.1
2013,1,MEC20055,2,"T3,F3",NMH 307,35,53,"[15, 51]",MEC20055.2
2013,1,MEC20057,2,"T6,T7",NMH 102B,30,27,"[18, 19]",MEC20057.2
2013,1,MEC20057,3,"T5,F5",NMH 102B,30,24,"[17, 53]",MEC20057.3
2013,1,MEC20058,1,"T2,F2",NMH 310,35,47,"[14, 50]",MEC20058.1
2013,1,MEC20058,3,"T5,F5",NMH 110,35,24,"[17, 53]",MEC20058.3
2013,1,MEC30001,1,"T2,F2",NMH 103A,40,23,"[14, 50]",MEC30001.1
2013,1,MEC30002,1,"T4,F4",NMH 105,40,59,"[16, 52]",MEC30002.1
2013,1,MEC30008,1,"T6,T7",NMH 107,40,43,"[18, 19]",MEC30008.1
2013,1,MEC30011,1,"T5,F5",NMH 107,40,58,"[17, 53]",MEC30011.1
2013,1,MEC30052,2,"T3,F3",NMH 107,35,34,"[15, 51]",MEC30052.2
2013,1,MEC30053,1,"T4,F4",NMH 106,35,50,"[16, 52]",MEC30053.1
