year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2013,2,ENG10062,1,"M1,M2",OH 420,60,52,"[1, 2]",ENG10062.1
2013,2,ENG20021,1,"M5,Th5",NMH 410A,30,2,"[5, 41]",ENG20021.1
2013,2,GEE20034,1,"Th2,Th3",OH 420,40,37,"[38, 39]",GEE20034.1
2013,2,GEE30023,1,"Th4,Th5",OH 420,40,22,"[40, 41]",GEE30023.1
2013,2,GEE40097,1,"Th2,Th3",SU 101,80,103,"[38, 39]",GEE40097.1
2013,2,GEE40097,2,"Th4,Th5",OH 401,80,116,"[40, 41]",GEE40097.2
2013,2,GEK10020,1,"M6,Th6",HDH 418B,60,56,"[6, 42]",GEK10020.1
2013,2,GEK10021,1,Th6,NTH 213,30,25,[42],GEK10021.1
2013,2,GEK10021,2,"Th5,Th6",NTH 411,20,19,"[41, 42]",GEK10021.2
2013,2,GEK10022,1,"M5,Th5",OH 403,40,47,"[5, 41]",GEK10022.1
2013,2,GEK10029,1,"M6,Th6",OH 403,15,11,"[6, 42]",GEK10029.1
2013,2,GEK10039,1,"M6,Th6",HDH 303B,50,38,"[6, 42]",GEK10039.1
2013,2,GEK10040,1,"M1,M2",OH 420,60,52,"[1, 2]",GEK10040.1
2013,2,GEK10041,1,"M2,Th2",OH 402,60,71,"[2, 38]",GEK10041.1
2013,2,GEK10042,1,"M3,Th3",OH 405,120,80,"[3, 39]",GEK10042.1
2013,2,GEK10045,1,"M2,Th2",NMH 403,60,53,"[2, 38]",GEK10045.1
2013,2,GEK10053,1,"M4,Th4",HDH 425B,40,35,"[4, 40]",GEK10053.1
2013,2,GEK10056,1,"M2,Th2",NTH 213,50,4,"[2, 38]",GEK10056.1
2013,2,GEK10056,2,"M3,Th3",HDH 425B,50,41,"[3, 39]",GEK10056.2
2013,2,GEK10057,1,"M5,Th5",NMH 410A,30,17,"[5, 41]",GEK10057.1
2013,2,GEK10057,2,"M1,Th1",NMH 404,60,28,"[1, 37]",GEK10057.2
2013,2,GEK10057,3,"M2,Th2",NMH 410A,60,18,"[2, 38]",GEK10057.3
2013,2,GEK10059,2,"M3,Th3",NTH 313,50,55,"[3, 39]",GEK10059.2
2013,2,GEK10059,3,"M5,Th5",NMH 403,60,63,"[5, 41]",GEK10059.3
2013,2,GEK10060,1,"M3,Th3",NMH 403,60,38,"[3, 39]",GEK10060.1
2013,2,GEK10062,1,"M2,Th2",OH 403,80,43,"[2, 38]",GEK10062.1
2013,2,GEK10062,2,"M3,Th3",OH 403,80,57,"[3, 39]",GEK10062.2
2013,2,GEK10081,1,"M1,Th1",HDH 303A,40,19,"[1, 37]",GEK10081.1
2013,2,GEK10082,1,"M5,Th5",HDH 425B,60,47,"[5, 41]",GEK10082.1
2013,2,GEK10097,1,"M2,Th2",HDH 425B,60,35,"[2, 38]",GEK10097.1
2013,2,GEK20011,1,"M3,M4",OH 420,50,33,"[3, 4]",GEK20011.1
2013,2,GEK20011,2,"Th3,Th4",OH 306,40,24,"[39, 40]",GEK20011.2
2013,2,GEK20011,3,"Th5,Th6",NMH 402,50,32,"[41, 42]",GEK20011.3
2013,2,GEK20016,2,"M5,Th5",SU 101,80,86,"[5, 41]",GEK20016.2
2013,2,GEK20019,1,"M2,Th2",HDH 303B,50,48,"[2, 38]",GEK20019.1
2013,2,GEK20021,2,"Th7,Th8",NTH 411,20,17,"[43, 44]",GEK20021.2
2013,2,GEK20044,1,"M6,M7",OH 402,50,46,"[6, 7]",GEK20044.1
2013,2,GEK20045,3,"M2,Th2",OH 405,75,87,"[2, 38]",GEK20045.3
2013,2,GEK20045,4,"M3,Th3",NMH 404,60,79,"[3, 39]",GEK20045.4
2013,2,GEK20045,11,"Th6,Th7",OH 401,60,61,"[42, 43]",GEK20045.11
2013,2,GEK20045,12,Th7,OH 401,60,61,[43],GEK20045.12
2013,2,GEK20045,13,"M5,Th5",NMH 404,60,72,"[5, 41]",GEK20045.13
2013,2,GEK30014,1,"M5,Th5",OH 405,80,92,"[5, 41]",GEK30014.1
2013,2,GEK30046,1,"M4,T4",GLC 204,2,2,"[4, 16]",GEK30046.1
2013,2,GEK40094,1,Th4,SU 101,25,23,[40],GEK40094.1
2013,2,GEK40096,1,"M4,Th4",OH 403,60,59,"[4, 40]",GEK40096.1
2013,2,ISL10011,1,"T2,Th2",NMH 109,30,28,"[14, 38]",ISL10011.1
2013,2,ISL10011,2,"T3,Th3",NMH 109,30,30,"[15, 39]",ISL10011.2
2013,2,ISL10071,2,"M5,Th5",OH 421,30,21,"[5, 41]",ISL10071.2
2013,2,ISL10076,3,"M4,Th4",HDH 303B,25,9,"[4, 40]",ISL10076.3
2013,2,ISL10076,5,"M2,Th2",NMH 108,25,26,"[2, 38]",ISL10076.5
2013,2,ISL10076,6,"M3,Th3",NMH 108,25,28,"[3, 39]",ISL10076.6
2013,2,ISL10076,7,"M4,Th4",NMH 108,25,23,"[4, 40]",ISL10076.7
2013,2,ISL10076,8,"M5,Th5",NMH 108,25,24,"[5, 41]",ISL10076.8
2013,2,ISL10076,9,"M3,Th3",NMH 104A,25,28,"[3, 39]",ISL10076.9
2013,2,ISL10086,1,"M3,Th3",OH 421,30,14,"[3, 39]",ISL10086.1
2013,2,ISL10091,1,"M4,Th4",NMH 109,30,19,"[4, 40]",ISL10091.1
2013,2,ISL10091,2,"M5,Th5",NMH 109,30,21,"[5, 41]",ISL10091.2
2013,2,ISL20076,1,"M2,Th2",NMH 104A,20,19,"[2, 38]",ISL20076.1
2013,2,ISL30031,1,"M2,Th2",GLC 304,22,28,"[2, 38]",ISL30031.1
2013,2,ISL30031,2,"M4,Th4",GLC 304,22,27,"[4, 40]",ISL30031.2
2013,2,ISL30032,1,"M4,Th4",GLC 305,22,11,"[4, 40]",ISL30032.1
2013,2,ISL30037,1,"M2,Th2",GLC 106,22,10,"[2, 38]",ISL30037.1
2013,2,ISL30038,1,"M3,Th3",GLC 202,22,23,"[3, 39]",ISL30038.1
2013,2,PCO10012,1,"M4,Th4",GLC 106,22,23,"[4, 40]",PCO10012.1
2013,2,PCO10013,1,"M1,Th1",GLC 106,22,20,"[1, 37]",PCO10013.1
2013,2,PCO10013,2,"M2,Th2",GLC 305,22,24,"[2, 38]",PCO10013.2
2013,2,PCO10013,3,"M2,Th2",GLC 303,22,24,"[2, 38]",PCO10013.3
2013,2,PCO10013,4,"M3,Th3",GLC 106,22,21,"[3, 39]",PCO10013.4
2013,2,PCO10013,5,"M3,Th3",GLC 305,22,24,"[3, 39]",PCO10013.5
2013,2,PCO10013,6,"M4,Th4",GLC 302,22,22,"[4, 40]",PCO10013.6
2013,2,PCO10013,7,"M5,Th5",GLC 303,22,23,"[5, 41]",PCO10013.7
2013,2,PCO10013,8,"M5,Th5",GLC 302,22,23,"[5, 41]",PCO10013.8
2013,2,PCO10013,9,"M4,Th4",GLC 303,22,24,"[4, 40]",PCO10013.9
2013,2,PCO10013,10,"M6,Th6",GLC 303,22,23,"[6, 42]",PCO10013.10
2013,2,PCO10015,1,"M7,Th7",NMH 104A,30,22,"[7, 43]",PCO10015.1
2013,2,PCO10024,1,"M2,Th2",HDH 418B,60,38,"[2, 38]",PCO10024.1
2013,2,PCO10024,2,"M3,Th3",HDH 418B,60,56,"[3, 39]",PCO10024.2
2013,2,PCO10052,1,"M2,Th2",HDH 303A,45,44,"[2, 38]",PCO10052.1
2013,2,PCO10052,2,"M3,Th3",HDH 303A,45,40,"[3, 39]",PCO10052.2
2013,2,PCO10052,3,"M5,Th5",HDH 303A,45,43,"[5, 41]",PCO10052.3
2013,2,PCO10052,4,"M5,Th5",HDH 418B,45,43,"[5, 41]",PCO10052.4
2013,2,PCO10052,5,"M3,Th3",HDH 320B,45,43,"[3, 39]",PCO10052.5
2013,2,PCO10057,1,"M1,Th1",NMH 402,50,39,"[1, 37]",PCO10057.1
2013,2,PCO10057,2,"M2,Th2",NMH 402,50,49,"[2, 38]",PCO10057.2
2013,2,PCO10057,3,"M3,Th3",NMH 402,50,48,"[3, 39]",PCO10057.3
2013,2,PCO10057,6,"M6,M7",HDH 425B,50,41,"[6, 7]",PCO10057.6
2013,2,PCO10057,12,"Th6,Th7",NMH 404,50,48,"[42, 43]",PCO10057.12
2013,2,PCO10057,13,"Th7,Th8",NMH 404,50,49,"[43, 44]",PCO10057.13
2013,2,PCO10057,16,"M6,M7",NMH 403,50,51,"[6, 7]",PCO10057.16
2013,2,PCO10057,19,"Th6,Th7",NMH 410A,50,49,"[42, 43]",PCO10057.19
2013,2,PCO10057,20,"Th6,Th7",HDH 303A,50,34,"[42, 43]",PCO10057.20
2013,2,PCO20004,1,"M1,Th1",GLC 301,22,18,"[1, 37]",PCO20004.1
2013,2,PCO20004,2,"M2,Th2",GLC 302,22,16,"[2, 38]",PCO20004.2
2013,2,PCO20004,3,"M2,Th2",GLC 301,22,18,"[2, 38]",PCO20004.3
2013,2,PCO20004,4,"M3,Th3",GLC 302,22,13,"[3, 39]",PCO20004.4
2013,2,PCO20004,5,"M4,Th4",GLC 301,22,22,"[4, 40]",PCO20004.5
2013,2,PCO20004,6,"M5,Th5",GLC 304,22,21,"[5, 41]",PCO20004.6
2013,2,PCO20004,7,"M6,Th6",GLC 304,22,22,"[6, 42]",PCO20004.7
2013,2,PCO20005,1,"M1,Th1",GLC 202,20,19,"[1, 37]",PCO20005.1
2013,2,PCO20005,2,"M2,Th2",GLC 202,20,21,"[2, 38]",PCO20005.2
2013,2,PCO20005,3,"M2,Th2",GLC 101,20,21,"[2, 38]",PCO20005.3
2013,2,PCO20005,4,"M3,Th3",GLC 101,20,19,"[3, 39]",PCO20005.4
2013,2,PCO20005,5,"M4,Th4",GLC 101,20,21,"[4, 40]",PCO20005.5
2013,2,PCO20005,6,"M4,Th4",GLC 202,20,18,"[4, 40]",PCO20005.6
2013,2,PCO20005,7,"M5,Th5",GLC 202,20,19,"[5, 41]",PCO20005.7
2013,2,PCO20005,8,"M6,Th6",GLC 101,20,20,"[6, 42]",PCO20005.8
2013,2,PCO20015,1,"M5,Th5",NMH 104A,30,13,"[5, 41]",PCO20015.1
2013,2,PCO20051,1,"M2,Th2",HDH 424,40,47,"[2, 38]",PCO20051.1
2013,2,PCO20051,2,"M3,Th3",HDH 424,40,48,"[3, 39]",PCO20051.2
2013,2,PCO20052,1,"M5,Th5",HDH 403,40,45,"[5, 41]",PCO20052.1
2013,2,PCO20053,1,"M2,Th2",HDH 403,40,44,"[2, 38]",PCO20053.1
2013,2,PCO20053,2,"M3,Th3",HDH 403,40,41,"[3, 39]",PCO20053.2
2013,2,PCO20053,3,"M2,Th2",OH 302,40,44,"[2, 38]",PCO20053.3
2013,2,GEA20008,1,M1,ANH 313,30,28,[1],GEA20008.1
2013,2,GEA20009,1,M1,ANH 313,30,16,[1],GEA20009.1
2013,2,GEA20011,1,"M4,Th4",NMH 403,30,22,"[4, 40]",GEA20011.1
