year,semester,subjectCode,num,capacity,classroom,student_count,time,time_conv,course
2013,2,ENG20022,1,60,NMH 404,29,"T6,F6","[17, 50]",ENG20022.1
2013,2,GEK10017,1,60,HDH 418B,32,"T2,F2","[13, 46]",GEK10017.1
2013,2,GEK10017,2,60,HDH 418B,15,"T3,F3","[14, 47]",GEK10017.2
2013,2,GEK10030,1,120,OH 405,142,"T6,F6","[17, 50]",GEK10030.1
2013,2,GEK10035,1,60,HDH 425B,26,"T6,T7","[17, 18]",GEK10035.1
2013,2,GEK10035,3,60,HDH 418B,52,"T4,T5","[15, 16]",GEK10035.3
2013,2,GEK10036,1,60,HDH 418B,36,"T8,T9","[19, 20]",GEK10036.1
2013,2,GEK10037,1,60,OH 305,59,"T8,T9","[19, 20]",GEK10037.1
2013,2,GEK10037,2,60,OH 305,60,"T6,T7","[17, 18]",GEK10037.2
2013,2,GEK10040,2,60,NMH 403,61,"T2,F2","[13, 46]",GEK10040.2
2013,2,GEK10041,2,100,SU 101,99,"F2,F3","[46, 47]",GEK10041.2
2013,2,GEK10055,1,50,OH 421,49,"T2,F2","[13, 46]",GEK10055.1
2013,2,GEK10058,1,60,NMH 404,29,"T6,F6","[17, 50]",GEK10058.1
2013,2,GEK10058,2,60,NMH 403,58,"T5,F5","[16, 49]",GEK10058.2
2013,2,GEK10059,1,60,NMH 410A,58,"T2,F2","[13, 46]",GEK10059.1
2013,2,GEK10061,1,40,HCA 2Ãþ,41,"T2,F2","[13, 46]",GEK10061.1
2013,2,GEK10061,2,40,HCA 2Ãþ,46,"T3,F3","[14, 47]",GEK10061.2
2013,2,GEK10066,1,80,NTH 313,61,"T2,F2","[13, 46]",GEK10066.1
2013,2,GEK10070,1,60,NMH 410A,51,"T3,F3","[14, 47]",GEK10070.1
2013,2,GEK10084,1,15,NTH 411,16,"T2,T3","[13, 14]",GEK10084.1
2013,2,GEK10085,1,60,HDH 418B,16,"T6,T7","[17, 18]",GEK10085.1
2013,2,GEK10093,1,50,HDH 425B,36,"T2,F2","[13, 46]",GEK10093.1
2013,2,GEK10096,1,60,HDH 425B,64,"T5,F5","[16, 49]",GEK10096.1
2013,2,GEK10097,2,40,OH 302,27,"T3,F3","[14, 47]",GEK10097.2
2013,2,GEK20016,1,50,HDH 425B,37,"T3,F3","[14, 47]",GEK20016.1
2013,2,GEK20017,1,60,OH 421,39,"T5,F5","[16, 49]",GEK20017.1
2013,2,GEK20019,2,40,HDH 320A,38,"T2,F2","[13, 46]",GEK20019.2
2013,2,GEK20021,1,30,NTH 213,24,T7,[18],GEK20021.1
2013,2,GEK20022,1,40,NMH 109,51,"T5,T6","[16, 17]",GEK20022.1
