course,classroom
ENG20022.1,NMH 404
GEE20034.1,OH 401
GEK10017.1,HDH 418B
GEK10017.2,HDH 418B
GEK10021.1,NTH 213
GEK10030.1,OH 405
GEK10030.2,OH 405
GEK10035.2,HDH 425B
GEK10035.3,HDH 418B
GEK10036.1,HDH 418B
GEK10037.1,OH 305
GEK10037.2,OH 305
GEK10038.1,HDH 419
GEK10038.3,HDH 419
GEK10040.2,HDH 318
GEK10041.3,OH 403
GEK10041.4,OH 402
GEK10045.1,OH 403
GEK10045.2,NMH 403
GEK10045.7,NMH 404
GEK10045.9,NMH 403
GEK10045.10,OH 403
GEK10053.1,HDH 418B
GEK10055.3,OH 401
GEK10056.1,OH 420
GEK10058.1,NMH 404
GEK10058.2,NMH 403
GEK10059.1,NMH 410A
GEK10061.1,HCA 2Ãþ
GEK10061.2,HCA 2Ãþ
GEK10066.1,NTH 313
GEK10070.1,NMH 410B
GEK10090.1,NMH 404
GEK10091.1,NTH 412
GEK10095.1,HDH 418B
GEK20017.1,OH 420
GEK20022.1,NMH 109
GEK20028.1,SU 101
GEK20028.2,SU 101
GEK20033.1,HDH 425B
GEK30045.1,HDH 318
GEK40096.3,HCA 2Ãþ
ISL10011.1,NMH 109
ISL10011.2,NMH 109
ISL10071.3,HDH 303A
ISL10071.4,HDH 303A
ISL10073.1,NTH 213
ISL10073.2,NTH 213
ISL10074.1,OH 421
ISL10075.1,NMH 108
ISL10075.3,HDH 303B
ISL10075.4,HDH 303B
ISL10075.6,NMH 104A
ISL10075.9,NMH 108
ISL10075.10,NMH 108
ISL10080.1,NTH 213
ISL10086.1,OH 421
ISL20077.1,HDH 303B
ISL20077.3,NMH 104A
ISL30031.1,GLC 101
ISL30036.1,GLC 304
ISL30079.1,NMH 104A
PCO10012.7,GLC 101
PCO10012.8,GLC 101
PCO10012.9,GLC 101
PCO10012.10,GLC 101
PCO10012.11,GLC 101
PCO10012.12,GLC 303
PCO10012.13,GLC 303
PCO10012.14,GLC 303
PCO10012.18,GLC 302
PCO10012.19,GLC 302
PCO10013.9,GLC 301
PCO10013.10,GLC 301
PCO10013.11,GLC 301
PCO10013.12,GLC 305
PCO10013.13,GLC 305
PCO10013.14,GLC 305
PCO10013.15,GLC 305
PCO10013.16,GLC 305
PCO10024.3,NMH 410B
PCO10024.4,NMH 410B
PCO10053.1,HDH 425B
PCO10058.2,HDH 403
PCO10058.3,HDH 403
PCO10058.7,OH 302
PCO10058.11,HDH 424
PCO10058.13,HDH 424
PCO20004.3,GLC 302
PCO20004.7,GLC 106
PCO20004.8,GLC 106
PCO20004.10,GLC 304
PCO20004.14,GLC 304
PCO20004.15,GLC 304
PCO20005.4,GLC 202
PCO20005.5,GLC 202
PCO20005.8,GLC 202
PCO20005.9,GLC 202
PCO20005.12,GLC 202
PCO20005.13,NTH 412
PCO20005.14,NTH 412
PCO20016.1,HDH 303A
PCO20051.3,HDH 424
GEA20016.1,OH 421
GEA20022.1,ANH 304
GEA20051.1,ANH 313
GEA20053.1,NTH 411
GEA30021.1,NMH 402
ISE10051.1,NMH 105
ISE20006.1,HDH 323C
ISE20072.1,NMH 109
ISE20084.1,HDH 318
ISE20085.1,HDH 318
ISE30071.1,HDH 320A
ISE30080.1,HDH 323C
ISE30092.1,HDH 320A
ISE30095.1,HDH 324
ISE30096.1,HDH 324
ISE30097.1,HDH 323C
CCC20052.1,NMH 410A
CCC20053.1,ANH 313
CCC20064.1,NMH 410A
CCC20072.1,NMH 410A
CCC20077.1,NMH 405
CCC30083.1,NMH 406
CCC30094.1,NMH 406
GMP20003.2,NMH 107
GMP20005.2,NMH 405
GMP20009.1,OH 402
GMP30002.2,NMH 105
MEC10001.2,NMH 106
MEC10001.3,NMH 105
MEC10002.2,OH 405
MEC20001.2,NMH 405
MEC20005.2,OH 402
MEC20005.3,OH 305
MEC20006.2,NMH 405
MEC20054.1,NMH 106
MEC20055.2,NMH 107
MEC20057.1,NMH 102B
MEC20057.2,NMH 102B
MEC20057.3,NMH 102B
MEC20058.2,NMH 105
MEC20059.3,NMH 310
MEC30010.1,NMH 103A
MEC30068.1,NMH 107
LAW10004.1,ANH 313
LAW20008.1,ANH 302
LAW20009.1,ANH 302
LAW30034.1,ANH 305
UIL20011.1,ANH 302
UIL20012.1,ANH 305
UIL30011.1,ANH 305
UIL30071.1,ANH 305
CSW20002.2,NMH 207
CSW20005.2,OH 402
CSW20015.2,NMH 402
CSW20054.1,NMH 207
CSW30008.1,NMH 207
CSW30012.1,HDH 320B
CSW30019.1,HDH 320B
CSW30067.1,NMH 207
CSW40009.1,OH 402
BFT20002.1,OH 405
ECE20057.1,ANH 313
ECE20057.2,OH 305
ECE20060.2,NTH 417
ITP20007.1,OH 401
ITP40001.1,NTH 313
IID10004.1,NMH 204
IID10004.2,NMH 204
IID10005.3,NMH 204
IID20006.1,NMH 202
IID20006.2,NMH 202
IID20006.3,NMH 204
IID20013.2,NMH 110
IID20055.2,HDH 402
IID30067.2,HDH 402
IID40059.1,NMH 108
HMM10041.1,ANH 302
HMM20026.1,OH 305
CUE20003.1,NTH 211
CUE20005.1,NTH 212
CUE20011.1,NTH 313
CUE30001.2,NTH 220
CUE40053.1,NTH 209A
