년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2014,2,글로벌리더십학부,ENG20021,일반생물학,1,주간,교양필수,서병선,3,30,Y,NMH 410A,4,"월5,목5",일반과목,N,1,GEK10057,1,C,N,0,,W14,자연
2014,2,글로벌리더십학부,GEE30023,Developing Leadership for a Global World,1,주간,교양선택,Michael Fowler,3,25,Y,OH 402,41,"월4,목4",일반과목,Y,1,,,,N,,,W16,리더십
2014,2,글로벌리더십학부,GEK10020,한국의 전통문화,1,주간,교양필수,김윤규,3,60,Y,HDH 418B,26,"월6,목6",일반과목,N,1,,,,N,,,W10,인문
2014,2,글로벌리더십학부,GEK10021,생활체육 1,1,주간,교양선택,지승원,1,30,Y, ,30,목6,성적만P/F나감,N,1,,,,N,태권도 / CCR,,W16,리더십
2014,2,글로벌리더십학부,GEK10021,생활체육 1,2,주간,교양선택,배치헌,1,20,Y,NTH 213,17,"목5,목6",성적만P/F나감,N,1,,,,N,테니스,,W16,리더십
2014,2,글로벌리더십학부,GEK10022,수화1,1,주간,교양선택,이지영,2,40,Y,OH 420,42,"월5,목5",성적만P/F나감,N,1,,,,N,,,W16,리더십
2014,2,글로벌리더십학부,GEK10029,수화2,1,주간,교양선택,이지영,2,40,Y,OH 420,15,"월6,목6",성적만P/F나감,N,1,,,,N,,,W16,리더십
2014,2,글로벌리더십학부,GEK10030,철학개론,2,주간,교양필수,이재환,3,80,Y,OH 305,48,"월5,화5",일반과목,Y,1,,,,N,,,W10,인문
2014,2,글로벌리더십학부,GEK10035,한국사(근현대사),1,주간,교양필수,류대영,3,50,Y,HDH 425B,48,"월6,목6",일반과목,N,1,,,,N,,,W11,역사
2014,2,글로벌리더십학부,GEK10039,역사와 인간,1,주간,교양필수,류대영,3,40,Y,HDH 303B,22,"월2,목2",일반과목,N,1,,,,N,,,W11,역사
2014,2,글로벌리더십학부,GEK10040,사회학개론,1,주간,교양필수,정태식,3,60,Y,OH 401,53,"월1,월2",일반과목,Y,1,,,,N,,,W12,사회
2014,2,글로벌리더십학부,GEK10041,심리학개론,1,주간,교양선택,신성만,3,160,Y,ANH Auditorium,171,"월3,목3",일반과목,N,1,,,,N,,,W18,전공기초
2014,2,글로벌리더십학부,GEK10042,사회복지개론,1,주간,교양선택,유장춘외 2명,3,120,Y,ANH 305,79,"월3,목3",일반과목,N,1,,,,N,사회복지전공 선수권장 과목,,W18,전공기초
2014,2,글로벌리더십학부,GEK10045,Christian Foundation 1,2,주간,교양필수,황영호,2,65,Y,NMH 410A,36,"월3,목3",성적만P/F나감,Y,1,,,,N,Kuyper College RC 분반 권장,,W07,신앙2
2014,2,글로벌리더십학부,GEK10055,물리학 1,1,주간,교양필수,조현지,3,50,Y,NMH 410A,54,"월2,목2",일반과목,N,1,,,,N,,,W14,자연
2014,2,글로벌리더십학부,GEK10056,물리학 2,1,주간,교양필수,조현지,3,50,Y,HDH 303B,39,"월3,목3",일반과목,N,1,,,,N,,,W14,자연
2014,2,글로벌리더십학부,GEK10057,일반생물학,1,주간,교양필수,서병선,3,30,Y,NMH 410A,12,"월5,목5",일반과목,N,1,GEK10057,1,D,N,,,W14,자연
2014,2,글로벌리더십학부,GEK10057,일반생물학,2,주간,교양필수,도명술외 2명,3,60,Y,NMH 404,11,"월1,목1",일반과목,N,1,,,,N,,1,W14,자연
2014,2,글로벌리더십학부,GEK10057,일반생물학,3,주간,교양필수,WilhelmHolzapfel,3,60,Y,NMH 403,41,"월2,목2",일반과목,Y,1,,,,N,,,W14,자연
2014,2,글로벌리더십학부,GEK10059,환경과 인간,2,주간,교양필수,안경모외 1명,3,50,Y,HDH 425B,48,"월3,목3",일반과목,Y,1,,,,N,,,W14,자연
2014,2,글로벌리더십학부,GEK10059,환경과 인간,3,주간,교양필수,도형기,3,60,Y,NMH 106,64,"월5,목5",일반과목,N,1,,,,N,,,W14,자연
2014,2,글로벌리더십학부,GEK10060,식품과 건강,1,주간,교양필수,신현길외 2명,3,60,Y,NMH 104A,14,"월3,목3",일반과목,N,1,,,,N,,,W14,자연
2014,2,글로벌리더십학부,GEK10062,미술의 이해,1,주간,교양선택,김민지,3,80,Y,OH 403,81,"월2,목2",성적만P/F나감,N,1,,,,N,,,W17,예술
2014,2,글로벌리더십학부,GEK10062,미술의 이해,2,주간,교양선택,김민지,3,80,Y,OH 403,48,"월3,목3",성적만P/F나감,N,1,,,,N,,,W17,예술
2014,2,글로벌리더십학부,GEK10065,영상의 이해,1,주간,교양선택,강두필,3,40,Y,NMH 405,25,"월2,목2",일반과목,N,1,,,,N,,,W17,예술
2014,2,글로벌리더십학부,GEK10081,공학수학,1,주간,교양선택,김성옥,3,40,Y,HDH 303A,28,"월1,목1",일반과목,N,1,,,,N,,,W18,전공기초
2014,2,글로벌리더십학부,GEK10082,선형대수학,1,주간,교양선택,김성옥,3,60,Y,HDH 425B,66,"월2,목2",일반과목,Y,1,,,,N,,,W18,전공기초
