year,semester,subjectCode,num,capacity,classroom,student_count,time,time_conv,course
2015,1,ENG20021,1,30,NMH 410A,1,"M5,Th5","[5, 41]",ENG20021.1
2015,1,ENG20022,1,60,NMH 207,13,"M6,Th6","[6, 42]",ENG20022.1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1
2015,1,GCS10001,2,45,HDH 424,49,"M3,Th3","[3, 39]",GCS10001.2
2015,1,GCS10001,3,45,HDH 403,50,"M5,Th5","[5, 41]",GCS10001.3
2015,1,GCS10001,4,45,OH 302,48,"M6,Th6","[6, 42]",GCS10001.4
2015,1,GCS10002,1,45,HDH 403,47,"M1,Th1","[1, 37]",GCS10002.1
2015,1,GCS10002,2,45,HDH 403,46,"M2,Th2","[2, 38]",GCS10002.2
2015,1,GCS10002,3,45,HDH 403,48,"M6,Th6","[6, 42]",GCS10002.3
2015,1,GCS10002,4,45,HDH 403,44,"M7,Th7","[7, 43]",GCS10002.4
2015,1,GCS10010,1,30,NMH 402,32,"M2,Th2","[2, 38]",GCS10010.1
2015,1,GCS10010,2,30,NMH 402,26,"M3,Th3","[3, 39]",GCS10010.2
2015,1,GCS10010,3,30,NMH 104A,23,"M5,Th5","[5, 41]",GCS10010.3
2015,1,GCS10010,4,30,HDH 303A,40,"M6,Th6","[6, 42]",GCS10010.4
2015,1,GCS10033,1,30,OH 421,21,"M3,Th3","[3, 39]",GCS10033.1
2015,1,GCS10033,2,30,OH 421,17,"M5,Th5","[5, 41]",GCS10033.2
2015,1,GCS10037,1,25,HDH 303B,28,"M3,Th3","[3, 39]",GCS10037.1
2015,1,GCS10037,2,25,HDH 303B,23,"M4,Th4","[4, 40]",GCS10037.2
2015,1,GCS10037,3,25,HDH 303B,31,"M6,Th6","[6, 42]",GCS10037.3
2015,1,GCS10037,7,25,NMH 104A,29,"M1,Th1","[1, 37]",GCS10037.7
2015,1,GCS10039,1,20,NMH 104A,16,"M2,Th2","[2, 38]",GCS10039.1
2015,1,GCS10039,2,20,NMH 104A,19,"M3,Th3","[3, 39]",GCS10039.2
2015,1,GCS10041,1,30,NTH 213,18,"T2,Th2","[14, 38]",GCS10041.1
2015,1,GCS10041,2,30,NTH 213,15,"T3,Th3","[15, 39]",GCS10041.2
2015,1,GCS10042,1,30,NTH 213,16,"T1,Th1","[13, 37]",GCS10042.1
2015,1,GEE30023,1,25,OH 402,39,"M4,Th4","[4, 40]",GEE30023.1
2015,1,GEK10021,2,20,NTH 213,10,"Th5,Th6","[41, 42]",GEK10021.2
2015,1,GEK10022,1,40,OH 420,39,"M5,Th5","[5, 41]",GEK10022.1
2015,1,GEK10022,2,40,OH 420,41,"M6,Th6","[6, 42]",GEK10022.2
2015,1,GEK10033,1,60,HDH 418B,59,"M6,Th6","[6, 42]",GEK10033.1
2015,1,GEK10038,1,20,HDH 419,24,Th5,[41],GEK10038.1
2015,1,GEK10038,2,20,HDH 419,40,"Th6,Th7","[42, 43]",GEK10038.2
2015,1,GEK10038,3,25,HDH 419,17,"Th2,Th3","[38, 39]",GEK10038.3
2015,1,GEK10040,2,60,NMH 105,66,"M6,M7","[6, 7]",GEK10040.2
2015,1,GEK10041,1,200,ANH Auditorium,211,"M3,Th3","[3, 39]",GEK10041.1
2015,1,GEK10042,1,120,OH 405,99,"M3,Th3","[3, 39]",GEK10042.1
2015,1,GEK10057,1,30,NMH 410A,34,"M5,Th5","[5, 41]",GEK10057.1
