Source course,Dest course,Count
ECE10002.1,GEK10041.1,28
ECE10002.1,GEK10062.2,2
ECE10002.1,GEK10035.1,2
ECE10002.1,GEK20059.3,14
ECE10002.1,CCC20094.1,2
ECE10002.1,GCS10004.2,2
ECE10002.1,GEK20011.2,2
ECE10002.1,LAW20010.1,2
ECE10002.1,GEK20065.3,6
ECE10002.1,MEC10002.3,2
ECE10002.1,GEK20060.1,10
ECE10002.1,ISE10052.1,8
ECE10002.1,GCS10010.2,4
ECE10002.1,GCS10053.6,6
ECE10002.1,GEK10098.2,2
ECE10002.1,GCS10003.2,8
MEC10001.1,GCS20001.5,2
MEC10001.1,GEK20044.1,2
MEC10001.1,GEK20062.1,8
MEC10001.1,GCS10053.8,2
MEC10001.1,GEK10020.1,2
MEC10001.1,GEK20065.2,12
MEC10001.1,GCS10003.3,4
MEC10001.1,GCS10038.3,2
MEC10001.1,GEK30014.3,6
ISE10022.1,GCS10059.1,2
ISE10022.1,GCS20002.5,2
ISE10022.1,GEK10042.1,2
IID20060.1,GEK20062.3,2
IID20060.1,GCS10003.4,1
GEK20059.3,GCS10061.1,2
GEK20059.3,GCS10004.3,2
GEK20059.3,GEK10096.2,8
GEK20059.3,GCS10003.5,6
GEK20059.3,GCS20002.6,2
GEK20059.3,GCS10014.1,1
ECE10002.2,GEK10053.1,2
ECE10002.2,GCS10037.2,2
ECE10002.2,GCS10004.3,2
ECE10002.2,GEK20011.3,2
ECE10002.2,GEK10096.2,2
ECE10002.2,GCS10053.2,2
ECE10002.2,GEK20060.2,4
GEK10099.1,GEK10095.2,2
GEK10099.1,GCS10058.3,2
GEK10099.1,GEK10059.1,4
GEK10099.1,GCS10053.3,2
GEK10099.1,GEK10057.2,2
GEK10099.1,GCS10003.6,2
CUE30032.1,CUE20004.1,2
GEK10057.2,GCS10007.1,4
GEK10057.2,GCS10003.3,4
GEK10057.2,GEK10020.1,2
IID20015.2,GEA20011.1,1
IID20015.2,GEK10096.2,1
IID20015.2,GCS20001.6,1
CSW30023.1,LAW30033.1,1
CSW30023.1,CSW20013.1,1
CSW30023.1,CSW30020.1,2
CSW30023.1,CSW30009.2,1
MEC30069.1,MEC30066.1,2
MEC30069.1,GEK20060.2,2
CCC20072.1,GEK10041.1,8
CCC20072.1,GEK10035.1,2
CCC20072.1,GEK10070.1,8
CCC20072.1,GEK20059.3,2
CCC20072.1,GEK10059.2,4
CCC20072.1,GEK10042.1,2
CCC20072.1,GCS10007.3,2
CCC20072.1,GCS10053.6,2
CCC20072.1,ISE10052.1,2
CCC20072.1,GCS10003.2,6
GCS10052.3,GCS10041.1,1
GCS10052.3,GCS10007.2,4
GCS10052.1,GCS10037.2,2
GEK10070.1,GCS10003.5,8
GEK10070.1,GCS10014.1,1
GEK10070.1,GCS10052.2,2
GEK20028.1,GEK10096.2,1
GEK20028.1,GCS10042.1,1
GEK20028.1,GEK10053.1,1
GCS10033.4,GCS10007.1,2
CSW20016.1,GEK20062.3,1
GEA20011.1,GEK10021.2,1
GEA20008.1,GCS10053.1,3
GEA20008.1,GEK20016.1,1
GEA20008.1,GCS10053.5,1
GEK30045.1,GCS10053.2,1
GEK30045.1,GEK10096.2,1
ISE40080.1,ISE20039.1,2
ISE40080.1,GEK10098.2,2
GMP20002.1,GCS20002.8,2
GCS10010.1,GCS10004.2,2
GCS10010.1,GCS10003.2,4
GCS10010.2,GCS10003.5,4
ITP30003.2,GEK20060.1,2
ITP30003.2,ECE10002.2,2
ITP30003.2,GEK20065.3,2
ITP30003.2,ECE20053.1,18
ISE20040.1,GEK30014.3,2
ISE20040.1,ISE10002.1,2
ISE20040.1,GCS10034.1,2
CUE20004.1,GEK10099.1,2
CUE20004.1,GCS20001.6,2
CUE40056.1,CUE20004.1,6
CUE40056.1,GCS20002.5,2
CUE40056.1,GEK10098.2,2
CUE40056.1,MEC30007.1,2
