year,semester,subjectCode,num,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2
2016,1,GCS10002,3,45,HDH 403,51,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.3
2016,1,GCS10002,4,45,HDH 403,48,"M7,Th7",,,,,,,,,"[7, 43]",GCS10002.4
2016,1,GCS10003,1,50,NMH 410A,62,"M2,Th2",,,,,,,,,"[2, 38]",GCS10003.1
2016,1,GCS10004,1,50,NMH 410A,58,"M4,Th4",,,,,,,,,"[4, 40]",GCS10004.1
2016,1,GCS10007,1,45,HDH 403,47,"M4,Th4",,,,,,,,,"[4, 40]",GCS10007.1
2016,1,GCS10007,2,45,HDH 403,47,"M5,Th5",,,,,,,,,"[5, 41]",GCS10007.2
2016,1,GCS10008,1,5,GLC 204,5,"M2,Th2",,,,,,,,,"[2, 38]",GCS10008.1
2016,1,GCS10014,1,40,NTH 213,34,"M2,M3",,,,,,,,,"[2, 3]",GCS10014.1
2016,1,GCS10019,1,25,NMH 108,25,"M2,Th2",,,,,,,,,"[2, 38]",GCS10019.1
2016,1,GCS10019,2,25,NMH 104A,23,"M1,Th1",,,,,,,,,"[1, 37]",GCS10019.2
2016,1,GCS10033,4,25,NMH 109,16,"M4,Th4",,,,,,,,,"[4, 40]",GCS10033.4
2016,1,GCS10034,1,25,NMH 109,13,"M5,Th5",,,,,,,,,"[5, 41]",GCS10034.1
2016,1,GCS10037,1,25,HDH 303B,27,"M5,Th5",,,,,,,,,"[5, 41]",GCS10037.1
2016,1,GCS10037,2,25,HDH 303B,25,"M6,Th6",,,,,,,,,"[6, 42]",GCS10037.2
2016,1,GCS10037,5,25,NMH 104A,27,"M2,Th2",,,,,,,,,"[2, 38]",GCS10037.5
2016,1,GCS10037,6,25,NMH 104A,29,"M3,Th3",,,,,,,,,"[3, 39]",GCS10037.6
2016,1,GCS10037,10,25,HDH 303A,25,"M4,Th4",,,,,,,,,"[4, 40]",GCS10037.10
2016,1,GCS10037,11,25,HDH 303A,25,"M5,Th5",,,,,,,,,"[5, 41]",GCS10037.11
2016,1,GCS10041,1,25,NTH 213,24,"T2,Th2",,,,,,,,,"[14, 38]",GCS10041.1
2016,1,GCS10041,2,25,NTH 213,15,"T3,Th3",,,,,,,,,"[15, 39]",GCS10041.2
2016,1,GCS10050,1,20,GLC 301,6,"M1,Th1",,,,,,,,,"[1, 37]",GCS10050.1
2016,1,GCS10050,2,20,GLC 301,19,"M2,Th2",,,,,,,,,"[2, 38]",GCS10050.2
2016,1,GCS10050,4,20,GLC 106,18,"M2,Th2",,,,,,,,,"[2, 38]",GCS10050.4
2016,1,GCS10050,6,20,GLC 106,18,"M5,Th5",,,,,,,,,"[5, 41]",GCS10050.6
2016,1,GCS10052,1,20,GLC 304,21,"M3,Th3",,,,,,,,,"[3, 39]",GCS10052.1
2016,1,GCS10052,2,20,GLC 304,21,"M4,Th4",,,,,,,,,"[4, 40]",GCS10052.2
2016,1,GCS10052,3,20,GLC 304,20,"M6,Th6",,,,,,,,,"[6, 42]",GCS10052.3
2016,1,GCS10052,4,20,GLC 303,20,"M4,Th4",,,,,,,,,"[4, 40]",GCS10052.4
2016,1,GCS10052,5,20,GLC 303,20,"M5,Th5",,,,,,,,,"[5, 41]",GCS10052.5
2016,1,GCS10052,6,20,GLC 302,20,"M2,Th2",,,,,,,,,"[2, 38]",GCS10052.6
2016,1,GCS10052,7,20,GLC 302,20,"M3,Th3",,,,,,,,,"[3, 39]",GCS10052.7
2016,1,GCS10052,8,20,GLC 302,20,"M5,Th5",,,,,,,,,"[5, 41]",GCS10052.8
2016,1,GCS10052,9,20,GLC 304,20,"M1,Th1",,,,,,,,,"[1, 37]",GCS10052.9
2016,1,GCS10052,10,20,GLC 304,20,"M2,Th2",,,,,,,,,"[2, 38]",GCS10052.10
2016,1,GCS10052,11,20,GLC 304,20,"M5,Th5",,,,,,,,,"[5, 41]",GCS10052.11
2016,1,GCS10052,12,20,GLC 303,20,"M6,Th6",,,,,,,,,"[6, 42]",GCS10052.12
2016,1,GCS10055,1,20,HDH 303A,18,"M2,Th2",,,,,,,,,"[2, 38]",GCS10055.1
2016,1,GCS10057,1,20,HDH 303A,14,"M3,Th3",,,,,,,,,"[3, 39]",GCS10057.1
2016,1,GCS10058,1,40,HDH 320A,49,"M5,Th5",,,,,,,,,"[5, 41]",GCS10058.1
2016,1,GCS10058,2,45,OH 420,49,"M3,Th3",,,,,,,,,"[3, 39]",GCS10058.2
