year,semester,subjectCode,num_x,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course,random.ID,num_y
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,xfpE2WnZ,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,ImgMgNST,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,gunSzigj,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,qhALAqiY,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,o7ELcsGD,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,yor7AIiZ,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,bsc2exzA,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,er9ZoKe3,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,XlGGBekT,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,U9on2X5O,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,5sFv2YgN,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,G0v9y7iy,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,jHyL9ncI,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,WOQi6FVH,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,Ecy0QdwV,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,5wbuQdMH,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,ed1qfqgA,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,CKR5ZTCl,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,V97Ydpqo,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,QP56Kv7i,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,oTcEZsfe,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,lOJ3xb9z,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,ML4KcF7y,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,mLQU0g52,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,qsa8oIux,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,RRaXYuev,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,SBe1X2aW,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,zxwE2MrI,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,ZHxy6XYG,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,cEPWeFRQ,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,yIREJdsM,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,E03c1iXk,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,FPXi7iDD,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,Q5eQcnYy,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,jxs1pJ2T,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,YPfuERk8,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,8yHGs3Bq,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,ntV1IUBh,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,JvkuTNu5,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,Y9rZLMkb,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,KkhcTBXQ,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,BIpopOcZ,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,YLtJZK23,4
2016,1,GCS10001,4,45,HDH 424,51,"M2,Th2",,,,,,,,,"[2, 38]",GCS10001.4,dP60io8V,4
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,xM89xfcQ,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,k4DMP45N,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,Yaph4P1t,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,me3xpBoU,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,Dr2Dv6Yi,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,UAwfdMAo,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,DseA69vY,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,b31CEW7i,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,tSpVhAGN,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,FYwc1xsJ,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,RsBntgQ6,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,Hgo6KuZ6,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,1cRmeYWs,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,AH49O8Jd,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,HlaBCoSf,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,n5DIWEKJ,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,9oCMDQMN,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,C73iibw5,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,OlxfG0C8,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,LAjqnldC,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,KFsOZsIc,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,tsPZjopW,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,rgCroAIG,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,ManVRcvq,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,6optgMej,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,xw92FHyQ,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,3geUTZqp,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,2lm7JGY8,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,KTtcDUPq,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,R2b0NgOa,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,d8C0mx8M,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,KHkB6rzG,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,kWQXVKLr,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,8Ead6AGv,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,P8VHHnkE,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,mwCHvpGE,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,BAzR11Ql,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,XsMua2y4,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,DOolWT8Q,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,cTI9z0Rk,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,6mhR3Hr2,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,TF61jeHU,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,Vu8A24Bf,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,5nhYUNOv,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,7a5neSIU,5
2016,1,GCS10001,5,45,HDH 424,52,"M3,Th3",,,,,,,,,"[3, 39]",GCS10001.5,0kWo1qCk,5
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,XjWnYLUG,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,JAUYzHAo,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,jv6XXmSn,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,Q5iId07w,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,6q23NaBc,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,whMK8MSJ,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,aWohUXKn,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,ahrvxXiz,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,GmahiAXx,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,3JMkCnv6,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,Q8dXHBvB,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,ArGhohtr,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,yTvEnni9,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,k3Hbmnd1,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,WTKfGBiS,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,aDltMUdI,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,vtC1dgZi,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,q3DIRgC0,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,PFdy1jjO,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,IMzcXlTr,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,dE51V294,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,moWtvOMM,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,TN2l4KaZ,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,ii6VAn0P,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,4WutZzuO,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,FCUTpWAH,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,NnVZntVR,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,VcbtJm2t,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,0uuLl6Cj,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,avV8Tmpu,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,VXJ4IMtz,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,Jewhhkoh,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,YceTHMWM,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,FxWU6TKZ,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,j6V8mZJ5,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,RXu4QVMw,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,yWga1kMS,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,JcHCRWJT,6
2016,1,GCS10001,6,45,HDH 424,51,"M5,Th5",,,,,,,,,"[5, 41]",GCS10001.6,K7QHJAiu,6
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,8xUwPDYR,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,HnFCVW2R,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,mzK5ZVN3,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,CIBiVFTf,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,eGgtrAAz,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,N4hs0ahh,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,QdQLhbPJ,7
