년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2016,1,글로벌리더십학부,ENG20022,일반화학,1,주간,교양선택필수,황철원,3,0,Y,NMH 410A,15,"화6,금6",일반과목,N,1,GEK10058,1,C,N,고등학교 때 화학을 배우지 않은 학생들 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GCS10001,소프트웨어 입문,1,주간,교양선택필수,김헌주,2,45,Y,HDH 424,51,"화2,금2",일반과목,N,1,,,,N,1학년 우선수강,,W57,ICT입문
2016,1,글로벌리더십학부,GCS10001,소프트웨어 입문,2,주간,교양선택필수,김헌주,2,45,Y,HDH 424,50,"화3,금3",일반과목,N,1,,,,N,1학년 우선수강,,W57,ICT입문
2016,1,글로벌리더십학부,GCS10001,소프트웨어 입문,3,주간,교양선택필수,김헌주,2,45,Y,HDH 403,48,"화5,금5",일반과목,N,1,,,,N,1학년 우선수강,,W57,ICT입문
2016,1,글로벌리더십학부,GCS10002,ICT 응용 입문,1,주간,교양선택필수,김바울,2,45,Y,HDH 403,46,"화6,화7",일반과목,N,1,,,,N,1학년 우선수강,,W57,ICT입문
2016,1,글로벌리더십학부,GCS10002,ICT 응용 입문,5,주간,교양선택필수,김바울,2,45,Y,HDH 403,50,"화1,금1",일반과목,N,1,,,,N,1학년 우선수강,,W57,ICT입문
2016,1,글로벌리더십학부,GCS10002,ICT 응용 입문,6,주간,교양선택필수,김바울,2,45,Y,HDH 403,49,"화2,금2",일반과목,N,1,,,,N,1학년 우선수강,,W57,ICT입문
2016,1,글로벌리더십학부,GCS10002,ICT 응용 입문,7,주간,교양선택필수,김바울,2,45,Y,HDH 403,49,"화3,금3",일반과목,N,1,,,,N,1학년 우선수강,,W57,ICT입문
2016,1,글로벌리더십학부,GCS10007,오피스활용,3,주간,교양선택필수,류정필,2,45,Y,OH 302,50,"화5,금5",일반과목,N,1,,,,N,전학년 동시 수강신청,,W59,소프트웨어활용
2016,1,글로벌리더십학부,GCS10007,오피스활용,4,주간,교양선택필수,류정필,2,45,Y,OH 302,45,"화6,금6",일반과목,N,1,,,,N,전학년 동시 수강신청,,W59,소프트웨어활용
2016,1,글로벌리더십학부,GCS10010,대학 글쓰기 기초,1,주간,교양선택필수,김종록,3,30,Y,HDH 425B,51,"화6,금6",일반과목,N,1,,,,N,,,W55,소통
2016,1,글로벌리더십학부,GCS10011,이공계 글쓰기,1,주간,교양선택필수,김종록외 1명,3,30,Y,HDH 303A,34,"화3,금3",일반과목,N,1,,,,N,,,W55,소통
2016,1,글로벌리더십학부,GCS10012,인문사회계 글쓰기,1,주간,교양선택필수,김종록,3,30,Y,HDH 303A,38,"화2,금2",일반과목,N,1,,,,N,,,W55,소통
2016,1,글로벌리더십학부,GCS10016,고전강독,2,주간,교양선택필수,손화철,2,30,Y,HDH 303B,24,"화7,금7",일반과목,N,1,,,,N,,,W56,융복합
2016,1,글로벌리더십학부,GCS10023,러시아어1,1,주간,교양선택,이승억,3,25,Y,NMH 104A,12,"화5,금5",일반과목,N,1,,,,N,,1,W24,제2외국어
2016,1,글로벌리더십학부,GCS10027,스페인어1,1,주간,교양선택,박효영,3,25,Y,NMH 402,32,"화1,금1",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10027,스페인어1,2,주간,교양선택,박효영,3,25,Y,NMH 402,26,"화2,금2",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10028,스페인어2,1,주간,교양선택,박효영,3,25,Y,NMH 402,16,"화3,금3",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10033,일본어1,1,주간,교양선택,김영미,3,25,Y,HDH 303B,25,"화2,금2",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10033,일본어1,2,주간,교양선택,김영미,3,25,Y,NMH 109,25,"화3,금3",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10033,일본어1,3,주간,교양선택,김영미,3,25,Y,NMH 109,25,"화5,금5",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10037,중국어1,3,주간,교양선택,민성아,3,25,Y,HDH 303B,26,"화3,금3",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10037,중국어1,4,주간,교양선택,민성아,3,25,Y,HDH 303B,23,"화4,금4",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10037,중국어1,7,주간,교양선택,권용호,3,25,Y,NMH 104A,27,"화2,금2",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10037,중국어1,8,주간,교양선택,고미숙,3,25,Y,NMH 108,24,"화4,금4",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10037,중국어1,9,주간,교양선택,고미숙,3,25,Y,NMH 108,32,"화5,금5",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10037,중국어1,12,주간,교양선택,고미숙,3,25,Y,NMH 108,24,"화3,금3",일반과목,N,1,,,,,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10039,중국어3,1,주간,교양선택,민성아,3,25,Y,HDH 303B,22,"화5,금5",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10039,중국어3,2,주간,교양선택,권용호,3,25,Y,NMH 104A,25,"화3,금3",일반과목,N,1,,,,N,,,W24,제2외국어
2016,1,글로벌리더십학부,GCS10041,프랑스어1,1,주간,교양선택,정덕재,3,25,Y,NTH 213,24,"화2,목2",일반과목,N,1,,,,N,수강제한(프랑스어권에서 1년 이상 교육을 받았거나 거주한 경우 수강할 수 없음),,W24,제2외국어
2016,1,글로벌리더십학부,GCS10041,프랑스어1,2,주간,교양선택,정덕재,3,25,Y,NTH 213,15,"화3,목3",일반과목,N,1,,,,N,수강제한(프랑스어권에서 1년 이상 교육을 받았거나 거주한 경우 수강할 수 없음),,W24,제2외국어
2016,1,글로벌리더십학부,GCS10053,English Communication,1,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"화2,금2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,2,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,3,주간,교양선택필수,Kurt A. Davidek,3,20,Y,GLC 303,19,"화2,금2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,4,주간,교양선택필수,Kurt A. Davidek,3,20,Y,GLC 303,19,"화3,금3",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,5,주간,교양선택필수,Kurt A. Davidek,3,20,Y,GLC 202,18,"화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,6,주간,교양선택필수,Ashley Nation,3,20,Y,GLC 305,20,"화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,7,주간,교양선택필수,John F. Bailey,3,20,Y,GLC 305,20,"화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,8,주간,교양선택필수,John F. Bailey,3,20,Y,GLC 305,20,"화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,9,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 101,20,"화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10053,English Communication,10,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,19,"화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10054,한국어 1,1,주간,교양선택필수,장은혜,3,20,Y,HDH 303A,12,"화5,금5",일반과목,N,1,,,,N,,1,W54,한국어
2016,1,글로벌리더십학부,GCS10056,한국어 3,1,주간,교양선택필수,장은혜,3,20,Y,HDH 303A,8,"화6,금6",일반과목,N,1,,,,N,,1,W54,한국어
2016,1,글로벌리더십학부,GCS10061,한문,2,주간,교양선택필수,이지락,3,60,Y,NMH 410A,18,"화4,금4",일반과목,N,1,,,,N,,,W55,소통
2016,1,글로벌리더십학부,GCS10061,한문,3,주간,교양선택필수,이지락,3,60,Y,NMH 410A,14,"화5,금5",일반과목,N,1,,,,N,,,W55,소통
2016,1,글로벌리더십학부,GCS10062,English Networks,1,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,20,"화1,금1",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,2,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,20,"화2,금2",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,3,주간,교양선택필수,Daniel Esler,3,20,Y,GLC 302,19,"화3,금3",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,4,주간,교양선택필수,GeorgeVanBruggen,3,20,Y,GLC 303,20,"화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,5,주간,교양선택필수,GeorgeVanBruggen,3,20,Y,GLC 303,20,"화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,6,주간,교양선택필수,GeorgeVanBruggen,3,20,Y,GLC 303,20,"화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,7,주간,교양선택필수,Robert MacLeod,3,20,Y,GLC 106,5,"화2,금2",일반과목,Y,1,,,,N,,1,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,8,주간,교양선택필수,Robert MacLeod,3,20,Y,GLC 106,15,"화4,금4",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,9,주간,교양선택필수,Robert MacLeod,3,20,Y,GLC 106,14,"화3,금3",일반과목,Y,1,,,,N,,1,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,10,주간,교양선택필수,Martha-Jean MacLeod,3,20,Y,GLC 106,18,"화5,금5",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS10062,English Networks,11,주간,교양선택필수,Martha-Jean MacLeod,3,20,Y,GLC 106,16,"화6,금6",일반과목,Y,1,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,1,주간,교양선택필수,Chad McDonald,3,20,Y,GLC 304,9,"화2,금2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,2,주간,교양선택필수,Chad McDonald,3,20,Y,GLC 304,17,"화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,10,주간,교양선택필수,Alex D. Bishop,3,20,Y,GLC 301,16,"화2,금2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,11,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,12,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,13,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화6,금6",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,14,주간,교양선택필수,우진하,3,20,Y,GLC 304,20,"화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,15,주간,교양선택필수,우진하,3,20,Y,GLC 304,20,"화5,금5",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,9,주간,교양선택필수,Richard M. Hamm,3,0,Y,GLC 202,20,"화1,금1",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,10,주간,교양선택필수,Alex D. Bishop,3,20,Y,GLC 305,13,"화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,11,주간,교양선택필수,Jeremy D. Knapp,3,19,Y,GLC 305,19,"화1,금1",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,12,주간,교양선택필수,Jeremy D. Knapp,3,0,Y,GLC 305,19,"화2,금2",일반과목,Y,2,,,,N,,,W32,영어1
