year,semester,subjectCode,num,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course
2016,1,ENG20022,1,0,NMH 410A,15,"T6,F6",,,,,,,,,"[18, 54]",ENG20022.1
2016,1,GCS10001,1,45,HDH 424,51,"T2,F2",,,,,,,,,"[14, 50]",GCS10001.1
2016,1,GCS10001,2,45,HDH 424,50,"T3,F3",,,,,,,,,"[15, 51]",GCS10001.2
2016,1,GCS10001,3,45,HDH 403,48,"T5,F5",,,,,,,,,"[17, 53]",GCS10001.3
2016,1,GCS10002,1,45,HDH 403,46,"T6,T7",,,,,,,,,"[18, 19]",GCS10002.1
2016,1,GCS10002,5,45,HDH 403,50,"T1,F1",,,,,,,,,"[13, 49]",GCS10002.5
2016,1,GCS10002,6,45,HDH 403,49,"T2,F2",,,,,,,,,"[14, 50]",GCS10002.6
2016,1,GCS10002,7,45,HDH 403,49,"T3,F3",,,,,,,,,"[15, 51]",GCS10002.7
2016,1,GCS10007,3,45,OH 302,50,"T5,F5",,,,,,,,,"[17, 53]",GCS10007.3
2016,1,GCS10007,4,45,OH 302,45,"T6,F6",,,,,,,,,"[18, 54]",GCS10007.4
2016,1,GCS10010,1,30,HDH 425B,51,"T6,F6",,,,,,,,,"[18, 54]",GCS10010.1
2016,1,GCS10011,1,30,HDH 303A,34,"T3,F3",,,,,,,,,"[15, 51]",GCS10011.1
2016,1,GCS10012,1,30,HDH 303A,38,"T2,F2",,,,,,,,,"[14, 50]",GCS10012.1
2016,1,GCS10016,2,30,HDH 303B,24,"T7,F7",,,,,,,,,"[19, 55]",GCS10016.2
2016,1,GCS10023,1,25,NMH 104A,12,"T5,F5",,,,,,,,,"[17, 53]",GCS10023.1
2016,1,GCS10027,1,25,NMH 402,32,"T1,F1",,,,,,,,,"[13, 49]",GCS10027.1
2016,1,GCS10027,2,25,NMH 402,26,"T2,F2",,,,,,,,,"[14, 50]",GCS10027.2
2016,1,GCS10028,1,25,NMH 402,16,"T3,F3",,,,,,,,,"[15, 51]",GCS10028.1
2016,1,GCS10033,1,25,HDH 303B,25,"T2,F2",,,,,,,,,"[14, 50]",GCS10033.1
2016,1,GCS10033,2,25,NMH 109,25,"T3,F3",,,,,,,,,"[15, 51]",GCS10033.2
2016,1,GCS10033,3,25,NMH 109,25,"T5,F5",,,,,,,,,"[17, 53]",GCS10033.3
2016,1,GCS10037,3,25,HDH 303B,26,"T3,F3",,,,,,,,,"[15, 51]",GCS10037.3
2016,1,GCS10037,4,25,HDH 303B,23,"T4,F4",,,,,,,,,"[16, 52]",GCS10037.4
2016,1,GCS10037,7,25,NMH 104A,27,"T2,F2",,,,,,,,,"[14, 50]",GCS10037.7
2016,1,GCS10037,8,25,NMH 108,24,"T4,F4",,,,,,,,,"[16, 52]",GCS10037.8
2016,1,GCS10037,9,25,NMH 108,32,"T5,F5",,,,,,,,,"[17, 53]",GCS10037.9
2016,1,GCS10037,12,25,NMH 108,24,"T3,F3",,,,,,,,,"[15, 51]",GCS10037.12
2016,1,GCS10039,1,25,HDH 303B,22,"T5,F5",,,,,,,,,"[17, 53]",GCS10039.1
2016,1,GCS10039,2,25,NMH 104A,25,"T3,F3",,,,,,,,,"[15, 51]",GCS10039.2
2016,1,GCS10041,1,25,NTH 213,24,"T2,Th2",,,,,,,,,"[14, 38]",GCS10041.1
2016,1,GCS10041,2,25,NTH 213,15,"T3,Th3",,,,,,,,,"[15, 39]",GCS10041.2
2016,1,GCS10053,1,20,GLC 101,20,"T2,F2",,,,,,,,,"[14, 50]",GCS10053.1
2016,1,GCS10053,2,20,GLC 101,20,"T4,F4",,,,,,,,,"[16, 52]",GCS10053.2
2016,1,GCS10053,3,20,GLC 303,19,"T2,F2",,,,,,,,,"[14, 50]",GCS10053.3
2016,1,GCS10053,4,20,GLC 303,19,"T3,F3",,,,,,,,,"[15, 51]",GCS10053.4
2016,1,GCS10053,5,20,GLC 202,18,"T5,F5",,,,,,,,,"[17, 53]",GCS10053.5
2016,1,GCS10053,6,20,GLC 305,20,"T4,F4",,,,,,,,,"[16, 52]",GCS10053.6
2016,1,GCS10053,7,20,GLC 305,20,"T5,F5",,,,,,,,,"[17, 53]",GCS10053.7
2016,1,GCS10053,8,20,GLC 305,20,"T6,F6",,,,,,,,,"[18, 54]",GCS10053.8
2016,1,GCS10053,9,20,GLC 101,20,"T5,F5",,,,,,,,,"[17, 53]",GCS10053.9
2016,1,GCS10053,10,20,GLC 302,19,"T6,F6",,,,,,,,,"[18, 54]",GCS10053.10
2016,1,GCS10054,1,20,HDH 303A,12,"T5,F5",,,,,,,,,"[17, 53]",GCS10054.1
2016,1,GCS10056,1,20,HDH 303A,8,"T6,F6",,,,,,,,,"[18, 54]",GCS10056.1
2016,1,GCS10061,2,60,NMH 410A,18,"T4,F4",,,,,,,,,"[16, 52]",GCS10061.2
2016,1,GCS10061,3,60,NMH 410A,14,"T5,F5",,,,,,,,,"[17, 53]",GCS10061.3
2016,1,GCS10062,1,20,GLC 302,20,"T1,F1",,,,,,,,,"[13, 49]",GCS10062.1
2016,1,GCS10062,2,20,GLC 302,20,"T2,F2",,,,,,,,,"[14, 50]",GCS10062.2
2016,1,GCS10062,3,20,GLC 302,19,"T3,F3",,,,,,,,,"[15, 51]",GCS10062.3
2016,1,GCS10062,4,20,GLC 303,20,"T4,F4",,,,,,,,,"[16, 52]",GCS10062.4
2016,1,GCS10062,5,20,GLC 303,20,"T5,F5",,,,,,,,,"[17, 53]",GCS10062.5
2016,1,GCS10062,6,20,GLC 303,20,"T6,F6",,,,,,,,,"[18, 54]",GCS10062.6
2016,1,GCS10062,7,20,GLC 106,5,"T2,F2",,,,,,,,,"[14, 50]",GCS10062.7
2016,1,GCS10062,8,20,GLC 106,15,"T4,F4",,,,,,,,,"[16, 52]",GCS10062.8
2016,1,GCS10062,9,20,GLC 106,14,"T3,F3",,,,,,,,,"[15, 51]",GCS10062.9
2016,1,GCS10062,10,20,GLC 106,18,"T5,F5",,,,,,,,,"[17, 53]",GCS10062.10
2016,1,GCS10062,11,20,GLC 106,16,"T6,F6",,,,,,,,,"[18, 54]",GCS10062.11
2016,1,GCS20001,1,20,GLC 304,9,"T2,F2",,,,,,,,,"[14, 50]",GCS20001.1
2016,1,GCS20001,2,20,GLC 304,17,"T3,F3",,,,,,,,,"[15, 51]",GCS20001.2
2016,1,GCS20001,10,20,GLC 301,16,"T2,F2",,,,,,,,,"[14, 50]",GCS20001.10
2016,1,GCS20001,11,20,GLC 301,20,"T3,F3",,,,,,,,,"[15, 51]",GCS20001.11
2016,1,GCS20001,12,20,GLC 301,20,"T4,F4",,,,,,,,,"[16, 52]",GCS20001.12
2016,1,GCS20001,13,20,GLC 301,20,"T6,F6",,,,,,,,,"[18, 54]",GCS20001.13
2016,1,GCS20001,14,20,GLC 304,20,"T4,F4",,,,,,,,,"[16, 52]",GCS20001.14
2016,1,GCS20001,15,20,GLC 304,20,"T5,F5",,,,,,,,,"[17, 53]",GCS20001.15
2016,1,GCS20002,9,0,GLC 202,20,"T1,F1",,,,,,,,,"[13, 49]",GCS20002.9
2016,1,GCS20002,10,20,GLC 305,13,"T3,F3",,,,,,,,,"[15, 51]",GCS20002.10
2016,1,GCS20002,11,19,GLC 305,19,"T1,F1",,,,,,,,,"[13, 49]",GCS20002.11
2016,1,GCS20002,12,0,GLC 305,19,"T2,F2",,,,,,,,,"[14, 50]",GCS20002.12
2016,1,GCS20002,13,20,GLC 202,19,"T3,F3",,,,,,,,,"[15, 51]",GCS20002.13
2016,1,GCS20002,14,20,GLC 202,17,"T4,F4",,,,,,,,,"[16, 52]",GCS20002.14
2016,1,GCS20002,15,20,GLC 302,19,"T4,F4",,,,,,,,,"[16, 52]",GCS20002.15
2016,1,GCS20002,16,20,GLC 302,18,"T5,F5",,,,,,,,,"[17, 53]",GCS20002.16
2016,1,GCS20006,1,45,OH 302,49,"T2,F2",,,,,,,,,"[14, 50]",GCS20006.1
2016,1,GCS20006,2,45,OH 302,51,"T3,F3",,,,,,,,,"[15, 51]",GCS20006.2
2016,1,GCS20009,1,30,HDH 424,43,"T5,F5",,,,,,,,,"[17, 53]",GCS20009.1
2016,1,GCS30009,1,20,GLC 101,20,"T6,F6",,,,,,,,,"[18, 54]",GCS30009.1
