Source course,Dest course,Count
MEC10001.3,GEK10088.1,1
MEC10001.3,ISE20072.1,1
MEC10001.3,ISE20081.1,2
MEC10001.3,GCS10037.4,2
MEC10001.3,GEK20028.3,1
MEC10001.3,GCS20002.14,2
MEC10001.3,GCS10053.6,2
MEC10001.2,GEK10095.2,2
MEC10001.2,GEK10090.1,2
MEC10001.2,GEK10070.1,2
MEC10001.2,GEK20058.5,4
MEC10001.2,GEK20063.4,2
MEC10001.2,GEK20058.3,4
MEC10001.2,GCS20006.2,2
GCS10023.1,GCS10002.1,3
ISE10022.1,GEK20042.2,1
BFT30057.1,GEK10090.2,2
ISE20081.1,CCE22001.1,1
ISE20081.1,GCS10053.8,1
ISE20081.1,GCS10007.4,1
MEC30002.1,GCS20001.13,2
GEK10070.1,GCS10037.8,2
GEK10070.1,GCS10062.8,2
GEK10070.1,GCS10037.4,2
GEK10070.1,GCS10062.4,6
CSW30056.1,GEK30030.1,2
CSW30056.1,CCC40050.1,2
CSW30056.1,GCS10033.2,2
CSW30056.1,GCS20006.2,2
CSW30056.1,CSW20012.2,12
CSW30056.1,CSW20054.1,12
GEK20028.3,GCS10010.1,2
GEK20028.3,GEK10088.2,1
GEK20028.3,GEK10077.1,1
GEK20028.3,GEK10095.3,1
CSW30012.1,GCS10053.8,2
CSW30012.1,CCC30083.1,1
CSW30012.1,CSW20064.1,6
CSW30012.1,CCE22001.1,4
CSW30012.1,GCS20001.13,2
CSW30012.1,GEK10098.2,1
GCS10033.1,GCS10011.1,2
MEC20057.3,CCC30035.1,2
MEC20057.3,MEC20054.1,4
GCS10033.3,GCS10002.1,1
GCS20006.1,GCS20001.11,4
ITP20003.1,GEK10090.2,2
ITP20003.1,GCS10053.9,4
ITP20003.1,ECE30030.1,2
ITP20003.1,ISE20085.1,1
ITP20003.1,GCS10007.3,2
ITP20003.1,ECE30021.1,2
IID20013.2,GCS10053.2,1
IID20013.2,GEK20058.6,1
IID20013.2,CUE20005.1,1
IID20013.2,GEK20028.3,1
IID20013.3,GCS10016.2,1
CSW30021.1,CSW20064.1,2
HMM20026.1,GCS20001.1,2
HMM20026.1,GEK10030.1,4
HMM20026.1,GEE20034.1,2
HMM20026.1,GEK10055.2,10
HMM20026.1,GEK20028.4,6
HMM20026.1,GCS10012.1,2
HMM20026.1,GEK10066.1,4
HMM20026.1,GEK20058.2,4
HMM20026.1,GCS10037.7,2
HMM20026.1,GEK20033.1,2
HMM20026.1,GEK20063.3,4
HMM20026.1,ITP20007.1,2
HMM20026.1,GCS10033.1,2
HMM20026.1,GCS20001.10,2
HMM20026.1,GEK10059.1,4
HMM20026.1,GEK10061.1,2
MEC30072.1,GCS10037.12,2
MEC30072.1,GEK30030.1,2
MEC30072.1,ISE30015.1,2
MEC30072.1,GEK10090.1,2
IID20059.2,GEK10098.2,3
CUE30003.1,CSW20085.1,2
CUE30003.1,CUE20005.1,1
CSW20015.1,GCS10010.1,1
CSW20015.1,GEK10088.2,1
CSW20015.1,GEK30015.2,3
CSW20015.1,GCS10007.4,1
CSW20015.1,MEC20057.2,1
MEC30074.1,GEE20034.1,2
MEC30074.1,GCS20006.1,2
MEC30074.1,MEC30072.1,2
MEC30074.1,ISE20086.1,2
MEC30074.1,CCC30035.1,2
IID20059.1,CUE30003.1,1
IID20059.1,IID20055.1,5
ITP20003.2,GCS10053.10,8
ITP20003.2,GEK10077.1,5
ITP20003.2,GCS10010.1,2
ITP20003.2,ECE30021.2,2
ITP20003.2,ENG20022.1,2
ITP20003.2,GEK10098.2,3
CSW20054.1,CCE32001.1,1
CSW20054.1,GEK10088.1,2
CSW20054.1,CCC20064.1,4
CSW20054.1,GEK20028.3,1
CSW20054.1,LAW20003.1,6
CSW20054.1,CSW20015.1,10
CSW20054.1,CCC30094.1,1
CSW20054.1,GCS10053.2,4
CSW20054.1,ISE30097.1,2
CSW20054.1,GCS10053.6,2
CCE32001.1,CCE22001.1,3
CCE32001.1,GEK30015.2,1
GCS30009.1,GCS10016.2,4
GEK10090.2,GEK10088.2,2
GEK10090.2,GCS30009.1,2
GEK10090.2,GCS10053.10,4
GEK10090.2,GEK10077.1,1
GEK10090.2,GCS10010.1,4
GEK10090.2,GCS10007.4,4
GCS10027.1,GCS10002.6,4
GCS10012.1,GCS10001.2,2
GEK10096.3,GEK10088.2,1
GEK10096.3,GEK10058.1,6
GEK10096.3,GCS10062.11,4
GEK10096.3,GCS10062.6,6
GEK10096.3,GCS10010.1,10
GEK10096.3,ENG20022.1,4
GEK10090.1,GEK10088.1,5
GEK10090.1,GCS10062.4,2
GEK20017.1,GCS10062.11,2
GEK20017.1,GEK10095.3,2
GEK30030.1,GEK10088.1,1
GEK30030.1,GEK20058.6,6
GEK30030.1,GCS10037.4,4
GEK30030.1,GEK20028.3,1
GEK30030.1,GCS10061.2,2
GEK30030.1,GCS20001.12,2
GCS10062.4,GCS10037.9,2
CSW30008.1,LAW20008.1,2
CSW30008.1,GCS10039.2,2
CSW30008.1,CSW20054.1,22
LAW20008.1,LAW20003.1,76
LAW20008.1,MEC10002.2,2
ISE20086.1,GCS20006.2,2
ISE20086.1,GCS20001.2,2
ISE20086.1,GCS10028.1,2
ISE20086.1,ISE20074.1,2
ISE30097.1,GCS20009.1,2
ISE30097.1,GEK20017.1,2
ISE30097.1,ISE10022.1,2
IID20016.1,GCS10053.2,1
IID20016.1,GEK20058.6,1
UIL30051.1,UIL30014.1,2
UIL30051.1,GEK10030.1,2
UIL30051.1,GCS10027.2,4
UIL30051.1,GEK20033.1,2
UIL30051.1,GEK10066.1,2
UIL30051.1,GEK20058.2,8
UIL30051.1,GEK20063.3,4
UIL30051.1,GCS10001.1,4
UIL30051.1,ISE20086.1,2
UIL30051.1,GEK10061.1,2
UIL30051.1,GEK10059.1,4
UIL30051.1,LAW20009.1,8
UIL30051.1,LAW30014.1,2
MEC30003.1,GEE20034.1,2
MEC30003.1,GEK10030.1,2
MEC30003.1,GCS10027.2,2
GCS10053.10,GCS10016.2,2
HMM40047.1,HMM40037.1,1
LAW20003.1,ISE10022.1,1
LAW20003.1,GCS10061.3,2
LAW20003.1,GCS10053.9,4
LAW20003.1,ISE20085.1,3
LAW20003.1,GCS10053.7,2
LAW20003.1,GEK10098.1,2
LAW20003.1,GCS10039.1,4
BFT30016.1,GCS10053.2,2
BFT30016.1,GCS20001.12,2
BFT30016.1,LAW20003.1,2
BFT30016.1,BFT20002.1,20
BFT30016.1,CSW20015.1,1
ECE40012.1,GCS20001.12,2
ECE40012.1,GCS20001.14,2
BFT20002.1,GCS10037.9,2
BFT20002.1,GEK10090.2,2
BFT20002.1,GCS10053.9,4
BFT20002.1,CSW30012.1,2
BFT20002.1,GEK20017.1,8
BFT20002.1,GCS10007.3,20
BFT20002.1,GCS10053.7,8
BFT20002.1,GEK10098.1,2
BFT20002.1,GCS10039.1,2
BFT30001.1,GCS10037.12,2
BFT30001.1,GCS20002.13,4
BFT30001.1,GEK30030.1,2
BFT30001.1,GCS10039.2,2
BFT30001.1,GCS20006.2,2
GEK20063.4,GEK10088.1,1
GEK20063.4,GCS10062.8,2
