년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,W업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2014,1,글로벌리더십학부,ENG10062,사회학개론,01,주간,교양필수,정태식,3,60,Y,OH 401,50,"M2,M3",일반과목,Y,1,GEK10040,01,C,Y,,,W12,사회
2013,1,글로벌리더십학부,ENG20021,일반생물학,01,주간,교양필수,서병선,3,30,Y,NMH 410A,14,"M5,Th5",일반과목,N,1,GEK10057,01,C,N,,,W14,자연
2013,1,글로벌리더십학부,ENG20022,일반화학,01,주간,교양필수,황철원,3,60,Y,NMH 404,45,"Tu5,F5",일반과목,N,1,GEK10058,01,C,Y,,,W14,자연
2013,1,글로벌리더십학부,GEE10001,English Chapel 1,01,주간,교양필수,Gregory T. Brown,0,999,Y,HCA 3층,69,W5,P학점과목,Y,1,GEE10001,01,D,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE10002,English Chapel 2,01,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,10,W5,P학점과목,Y,1,GEE10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE20001,English Chapel 3,01,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,25,W5,P학점과목,Y,2,GEE10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE20002,English Chapel 4,01,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,17,W5,P학점과목,Y,2,GEE10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE20034,Cross-Cultural Global Perspectives,01,주간,교양필수,정일권,3,40,Y,OH 401,14,"Th2,Th3",일반과목,Y,1,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEE30001,English Chapel 5,01,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,41,W5,P학점과목,Y,3,GEE10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE30002,English Chapel 6,01,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,19,W5,P학점과목,Y,3,GEE10001,01,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE30023,Developing Leadership for a Global World,01,주간,교양선택,정일권,3,40,Y,OH 402,23,"Th4,Th5",일반과목,Y,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEE40001,English Chapel 7,01,주간,교양선택,Gregory T. Brown,1,990,Y,HCA 3층,11,W5,성적만P/F나감,Y,4,GEE10001,01,C,N,,,W15,신앙3
2013,1,글로벌리더십학부,GEE40002,English Chapel 8,01,주간,교양선택,Gregory T. Brown,1,990,Y,HCA 3층,2,W5,성적만P/F나감,Y,4,GEE10001,01,C,N,,,W15,신앙3
2013,1,글로벌리더십학부,GEE40097,Marriage and Enrichment,01,주간,교양선택,최미경,3,40,Y,NMH 105,92,"Tu2,Tu3",일반과목,Y,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEE40097,Marriage and Enrichment,02,주간,교양선택,최미경,3,40,Y,OH 305,148,"W2,W3",일반과목,Y,1,,,,N,,,W16,리더십
