년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2013,1,글로벌리더십학부,ENG10062,사회학개론,1,주간,교양필수,정태식,3,60,Y,OH 401,50,"월2,월3",일반과목,Y,1,GEK10040,1,C,Y,,,W12,사회
2013,1,글로벌리더십학부,ENG20021,일반생물학,1,주간,교양필수,서병선,3,30,Y,NMH 410A,14,"월5,목5",일반과목,N,1,GEK10057,1,C,N,,,W14,자연
2013,1,글로벌리더십학부,ENG20022,일반화학,1,주간,교양필수,황철원,3,60,Y,NMH 404,45,"화5,금5",일반과목,N,1,GEK10058,1,C,Y,,,W14,자연
2013,1,글로벌리더십학부,GEE10001,English Chapel 1,1,주간,교양필수,Gregory T. Brown,0,999,Y,HCA 3층,69,수5,P학점과목,Y,1,GEE10001,1,D,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE10002,English Chapel 2,1,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,10,수5,P학점과목,Y,1,GEE10001,1,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE20001,English Chapel 3,1,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,25,수5,P학점과목,Y,2,GEE10001,1,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE20002,English Chapel 4,1,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,17,수5,P학점과목,Y,2,GEE10001,1,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE20034,Cross-Cultural Global Perspectives,1,주간,교양필수,정일권,3,40,Y,OH 401,14,"목2,목3",일반과목,Y,1,,,,N,,,W12,사회
2013,1,글로벌리더십학부,GEE30001,English Chapel 5,1,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,41,수5,P학점과목,Y,3,GEE10001,1,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE30002,English Chapel 6,1,주간,교양필수,Gregory T. Brown,0,990,Y,HCA 3층,19,수5,P학점과목,Y,3,GEE10001,1,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEE30023,Developing Leadership for a Global World,1,주간,교양선택,정일권,3,40,Y,OH 402,23,"목4,목5",일반과목,Y,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEE40001,English Chapel 7,1,주간,교양선택,Gregory T. Brown,1,990,Y,HCA 3층,11,수5,성적만P/F나감,Y,4,GEE10001,1,C,N,,,W15,신앙3
2013,1,글로벌리더십학부,GEE40002,English Chapel 8,1,주간,교양선택,Gregory T. Brown,1,990,Y,HCA 3층,2,수5,성적만P/F나감,Y,4,GEE10001,1,C,N,,,W15,신앙3
2013,1,글로벌리더십학부,GEE40097,Marriage and Enrichment,1,주간,교양선택,최미경,3,40,Y,NMH 105,92,"화2,화3",일반과목,Y,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEE40097,Marriage and Enrichment,2,주간,교양선택,최미경,3,40,Y,OH 305,148,"수2,수3",일반과목,Y,1,,,,N,,,W16,리더십
2013,1,글로벌리더십학부,GEE40097,Marriage and Enrichment,3,주간,교양선택,최미경,3,40,Y,OH 305,55,"수4,수5",일반과목,Y,1,,,,,,,W16,리더십
2013,1,글로벌리더십학부,GEK10000,Elementary Calculus,1,주간,교양필수,박위태,4,40,Y,OH 306,33,"화4,화5,금4,금5",일반과목,N,1,,,,N,100분수업/경영경제수학 이수한 학생 수강불가,,W13,수학
2013,1,글로벌리더십학부,GEK10000,Elementary Calculus,2,주간,교양필수,이한진,4,20,Y,NTH 213,41,"월3,월4,목3,목4",일반과목,Y,1,,,,N,100분수업/1학년우선수강/경영경제수학 이수한 학생 수강불가,,W13,수학
2013,1,글로벌리더십학부,GEK10001,채플(한국어) 1,1,주간,교양필수,김영섭외 4명,0,999,Y, ,802,"수5,수6",P학점과목,N,1,GEK10001,1,D,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK10002,채플(한국어) 2,1,주간,교양필수,김영섭외 4명,0,999,Y, ,35,"수5,수6",P학점과목,N,1,GEK10001,1,C,N,,,W04,신앙1
2013,1,글로벌리더십학부,GEK10007,교양독서,1,주간,교양필수,김성옥,1,30,Y,,29,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,2,주간,교양필수,김종록,1,30,Y,,7,,성적만P/F나감,N,1,,,,N,,1,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,3,주간,교양필수,곽태식,1,30,Y,,28,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,4,주간,교양필수,김경미,1,30,Y,,18,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,5,주간,교양필수,김군오,1,30,Y,,30,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,6,주간,교양필수,김윤규,1,30,Y,,28,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,7,주간,교양필수,김헌주,1,30,Y,,22,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,8,주간,교양필수,홍최영,1,30,Y,,28,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,9,주간,교양필수,황철원,1,30,Y,,27,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,10,주간,교양필수,손화철,1,30,Y,,20,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,12,주간,교양필수,조현지,1,30,Y,,14,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,13,주간,교양필수,Jeremy D. Knapp,1,30,Y,,29,,성적만P/F나감,Y,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10007,교양독서,14,주간,교양필수,신현길,1,30,Y,,22,,성적만P/F나감,N,1,,,,N,,,W06,인성2
2013,1,글로벌리더십학부,GEK10008,공동체리더십훈련1,1,주간,교양필수,Unconfirmed,1,950,Y,,869,,성적만P/F나감,N,1,GEK10008,1,D,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10009,공동체리더십훈련2,1,주간,교양필수,Unconfirmed,1,950,Y,,33,,성적만P/F나감,N,1,GEK10008,1,C,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10011,창조와 진화,1,주간,교양필수,서병선외 7명,2,350,Y,ANH Auditorium,381,"수3,수4",일반과목,N,1,,,,N,,,W08,세계관1
2013,1,글로벌리더십학부,GEK10011,창조와 진화,2,주간,교양필수,곽진환외 7명,2,120,Y,SU 101,207,"수3,수4",일반과목,N,1,,,,N,,,W08,세계관1
2013,1,글로벌리더십학부,GEK10011,창조와 진화,3,주간,교양필수,WilhelmHolzapfel,2,60,Y,NMH 105,73,"수3,수4",일반과목,Y,1,,,,N,,,W08,세계관1
2013,1,글로벌리더십학부,GEK10015,한동인성교육,1,주간,교양필수,유장춘외 5명,1,400,Y,ANH Auditorium,421,수2,성적만P/F나감,N,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10015,한동인성교육,2,주간,교양필수,Cordell Schulten,1,40,Y,OH 421,43,수3,성적만P/F나감,Y,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10016,사회봉사 A,1,주간,교양필수,강병덕,1,304,Y,,299,,성적만P/F나감,N,1,,,,N,,,W05,인성1
2013,1,글로벌리더십학부,GEK10017,Academic Writing,1,주간,교양필수,김종록,3,60,Y,HDH 418B,61,"화2,금2",일반과목,N,1,,,,N,인문분반,,W10,인문
2013,1,글로벌리더십학부,GEK10017,Academic Writing,2,주간,교양필수,김종록외 1명,3,60,Y,HDH 418B,18,"화3,금3",일반과목,N,1,,,,N,자연분반,,W10,인문
2013,1,글로벌리더십학부,GEK10021,생활체육 1,1,주간,교양선택,배치헌,1,20,Y,NTH 213,20,"목5,목6",성적만P/F나감,N,1,,,,N,테니스,,W16,리더십
