학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부,연도,학기,코드,분반,과목명,학점,성적,재이수여부
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2014,2,GEK10062,01,미술의 이해,3,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2014,2,GEK10076,02,비전과 진로탐색,1,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2014,2,GEK20045,03,Christian Foundation 2,2,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2014,2,ISE10052,01,국제관계학입문,3,F,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2014,2,PCO10013,05,English Communication,3,B+,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2014,2,PCO10057,06,정보처리개론,2,C+,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2014,4,GEK10016,01,사회봉사 A,1,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,1,CSW20001,02,상담이론과 실제,3,C+,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,1,CSW20012,02,성격심리학,3,C0,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,1,GEK10041,04,심리학개론,3,C+,Y
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,1,GEK10042,01,사회복지개론,3,B0,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,1,GEK20001,01,채플(한국어) 3,0,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,1,GEK20008,01,공동체리더십훈련3,0.5,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,1,IID20016,03,아이디어 발상법,3,C+,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,2,CSW20002,02,발달심리학,3,B+,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,2,GCS10007,02,오피스활용,2,C+,Y
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,2,GEK10088,02,서양의 역사와 문화,3,C+,Y
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,2,GEK20002,01,채플(한국어) 4,0,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,2,GEK20009,01,공동체리더십훈련4,0.5,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,2,GEK20011,01,기독교 세계관,2,B0,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,2,GEK20062,02,기독교 변증학,3,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2015,4,GEK20046,01,사회봉사2,1,P,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2016,1,CSW20054,01,인간행동과 사회환경,3,,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2016,1,CSW30008,01,아동복지론,3,,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2016,1,CSW30012,01,아동청소년상담,3,,N
21400795,20140301,140,5,3,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,,2016,1,CSW30035,01,상담특론 ,3,,N
