학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부
21300001,20130301,140,3,2,주간,복학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300002,20130301,140,6,3,주간,복학,생명과학부,여,생명과학(33),경제학,,연계,
21300003,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300004,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,전자공학심화,,,,공학인증
21300005,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(45),,상담심리학,,
21300006,20130301,140,5,3,주간,복학,생명과학부,여,생명과학(33),컴퓨터공학,,연계,
21300007,20130301,140,2,1,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300008,20130301,140,7,4,주간,입학,전산전자공학부,남,컴퓨터공학,경영학,,연계,
21300009,20130301,140,7,4,주간,입학,법학부,여,US and International Law,영어,,연계,
21300010,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300011,20130301,140,6,3,주간,일반휴학,언론정보문화학부,여,언론정보학,공연영상학,,복수,
21300012,20130301,140,5,3,주간,일반휴학,법학부,여,US and International Law,경영학,,연계,
21300013,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,전자공학심화,,,,공학인증
21300014,20130301,140,4,2,주간,일반휴학,생명과학부,여,생명과학(66),,,,
21300015,20130301,140,5,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,컴퓨터공학,,연계,
21300016,20130301,140,4,2,주간,군입대휴학,콘텐츠융합디자인학부,남,시각디자인,제품디자인,,복수,
21300017,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300018,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300019,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,언론정보학,,연계,
21300020,20130301,140,2,1,주간,제적,경영경제학부,여,경영학,경제학,,복수,
21300021,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(66),,,,
21300022,20130301,140,7,4,주간,입학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300023,20130301,140,5,3,주간,복학,언론정보문화학부,여,공연영상학,언론정보학,,복수,
21300024,20130301,140,4,2,주간,군입대휴학,생명과학부,남,생명과학(66),,시각디자인,,
21300025,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300026,20130301,140,3,2,주간,복학,공간환경시스템공학부,남,건설공학,도시환경공학,,복수,
21300027,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,제품디자인,시각디자인,,복수,
21300028,20130301,140,3,2,주간,복학,콘텐츠융합디자인학부,남,제품디자인,시각디자인,,복수,
21300029,20130301,140,1,1,주간,제적,글로벌리더십학부,남,,,,,
21300030,20130301,140,5,3,주간,일반휴학,언론정보문화학부,여,언론정보학,공연영상학,,복수,
21300031,20130301,140,7,4,주간,입학,공간환경시스템공학부,여,건설공학,시각디자인,,연계,
21300032,20130301,140,3,2,주간,군입대휴학,생명과학부,남,생명과학(66),,,,
21300033,20130301,140,7,4,주간,입학,법학부,여,US and International Law,상담심리학,,연계,
