"random.ID","입학일자","교육과정","등록학기","학년","주야","현학적","학과명","성별","전공1","전공2","부전공","비고","공학인증여부"
"7cbcrd0E",20130301,140,3,2,"주간","복학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"fVhXHvIp",20130301,140,6,3,"주간","복학","생명과학부","여","생명과학(33)","경제학","","연계",""
"HGBEJI92",20130301,140,3,2,"주간","군입대휴학","경영경제학부","남","경영학","경제학","","복수",""
"DoWup2SG",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","전자공학심화","","","","공학인증"
"IVBlCGzo",20130301,140,7,4,"주간","입학","생명과학부","여","생명과학(45)","","상담심리학","",""
"YeJcKVfU",20130301,140,5,3,"주간","복학","생명과학부","여","생명과학(33)","컴퓨터공학","","연계",""
"Fl4JiV9V",20130301,140,2,1,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"UkAqr2J0",20130301,140,7,4,"주간","입학","전산전자공학부","남","컴퓨터공학","경영학","","연계",""
"EhJV3Z7t",20130301,140,7,4,"주간","입학","법학부","여","US and International Law","영어","","연계",""
"0m5WN4Jf",20130301,140,7,4,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"vT8XCtOJ",20130301,140,6,3,"주간","일반휴학","언론정보문화학부","여","언론정보학","공연영상학","","복수",""
"9tAt886V",20130301,140,5,3,"주간","일반휴학","법학부","여","US and International Law","경영학","","연계",""
"I1Jk2ZHC",20130301,140,3,2,"주간","군입대휴학","전산전자공학부","남","전자공학심화","","","","공학인증"
"8K98R2i6",20130301,140,4,2,"주간","일반휴학","생명과학부","여","생명과학(66)","","","",""
"w7DuwH7n",20130301,140,5,3,"주간","복학","콘텐츠융합디자인학부","여","시각디자인","컴퓨터공학","","연계",""
"kuzwUHFV",20130301,140,4,2,"주간","군입대휴학","콘텐츠융합디자인학부","남","시각디자인","제품디자인","","복수",""
"UJxd7QuT",20130301,140,4,2,"주간","군입대휴학","경영경제학부","남","경영학","경제학","","복수",""
"ubdrVyKT",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","경제학","","복수",""
"McjZyZRE",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","언론정보학","","연계",""
"5qEzbzNY",20130301,140,2,1,"주간","제적","경영경제학부","여","경영학","경제학","","복수",""
"QZQD5dQ4",20130301,140,7,4,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"nKkahQLl",20130301,140,7,4,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"QY7ITLb4",20130301,140,5,3,"주간","복학","언론정보문화학부","여","공연영상학","언론정보학","","복수",""
"x1qdJkdz",20130301,140,4,2,"주간","군입대휴학","생명과학부","남","생명과학(66)","","시각디자인","",""
"7soopjyd",20130301,140,3,2,"주간","복학","경영경제학부","남","경영학","경제학","","복수",""
"eWJlWjJP",20130301,140,3,2,"주간","복학","공간환경시스템공학부","남","건설공학","도시환경공학","","복수",""
"CzZHBkZv",20130301,140,7,4,"주간","입학","콘텐츠융합디자인학부","여","제품디자인","시각디자인","","복수",""
"dhTqQ1GK",20130301,140,3,2,"주간","복학","콘텐츠융합디자인학부","남","제품디자인","시각디자인","","복수",""
"8UnKVUnZ",20130301,140,1,1,"주간","제적","글로벌리더십학부","남","","","","",""
"6oZDkJUz",20130301,140,5,3,"주간","일반휴학","언론정보문화학부","여","언론정보학","공연영상학","","복수",""
"QFDgyTlZ",20130301,140,7,4,"주간","입학","공간환경시스템공학부","여","건설공학","시각디자인","","연계",""
"xnWaGH4Y",20130301,140,3,2,"주간","군입대휴학","생명과학부","남","생명과학(66)","","","",""
"G0aWq1bG",20130301,140,7,4,"주간","입학","법학부","여","US and International Law","상담심리학","","연계",""
"76k03kMl",20130301,140,7,4,"주간","입학","전산전자공학부","여","컴퓨터공학심화","","","","공학인증"
"Nn1VoXGL",20130301,140,2,1,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"MQumjHSH",20130301,140,4,2,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"hoePxFbk",20130301,140,7,4,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"h7dJLyXR",20130301,140,7,4,"주간","입학","경영경제학부","여","경영학","상담심리학","","연계",""
"wSBzYlug",20130301,140,5,3,"주간","복학","경영경제학부","남","경영학","Global Entrepreneurship","","연계",""
"PP9CBPLp",20130301,140,3,2,"주간","복학","상담심리사회복지학부","남","상담심리학","영어","","연계",""
"CrO9LMQB",20130301,140,2,1,"주간","군입대휴학","법학부","남","한국법","경제학","","연계",""
"evjsxCTN",20130301,140,7,4,"주간","입학","국제어문학부","여","영어","국제지역학","","복수",""
"N1vPxGWy",20130301,140,3,2,"주간","군입대휴학","공간환경시스템공학부","남","건설공학","도시환경공학","","복수",""
"MJ2fv2Ck",20130301,140,6,3,"주간","일반휴학","언론정보문화학부","여","언론정보학","공연영상학","","복수",""
