Source course,Dest course,Count
PCO10012.2,GEK10096.3,6
PCO10012.2,GEK10000.2,4
PCO10012.2,ISL10075.2,2
PCO10012.2,GEK10062.2,4
PCO10012.2,GEK10042.1,4
PCO10012.3,ISL10075.8,2
PCO10012.3,GEK10038.1,2
PCO10012.3,ISL10075.4,2
PCO10012.1,GEK10062.1,4
PCO10012.1,GEK10096.2,8
PCO10012.1,GEK10095.2,2
PCO10012.6,GEK20021.1,1
PCO10012.6,GEK10056.1,2
PCO10012.7,ISL10075.2,2
PCO10012.7,ISL10075.11,4
PCO10012.7,ISL10074.1,2
PCO10012.7,GEK20011.1,1
PCO10012.7,GEK10059.3,6
PCO10012.7,GEK20011.2,1
PCO10012.7,GEK10096.3,4
PCO10012.7,GEK10060.1,2
PCO10012.7,GEK10042.1,2
PCO10013.9,GEK20044.1,1
PCO10013.9,GEK10022.2,4
PCO10012.5,GEK10057.1,2
PCO10012.5,GEK10022.1,2
PCO10012.5,ISL10091.1,4
PCO10013.7,GEK10060.1,2
PCO10013.7,GEK20011.1,1
PCO10013.7,GEK10059.3,2
CUE20052.1,PCO10012.2,4
CUE20052.1,GEK20028.3,1
PCO10012.8,ISL10075.9,2
PCO10012.8,GEK10057.1,4
PCO10012.8,GEK10059.4,4
PCO10012.8,ENG20021.1,2
PCO10012.8,GEK10045.14,2
PCO10013.4,ISL10075.8,2
PCO10013.4,GEK20042.2,1
PCO10013.3,GEK10057.1,2
PCO10013.3,GEK10059.4,2
PCO10013.3,GEK10045.14,2
PCO10013.3,ISL10071.2,4
PCO10013.2,GEK20042.2,1
PCO10013.2,ISL10075.4,4
PCO10013.1,GEK10096.3,2
PCO10013.1,GEK10060.1,4
PCO10013.1,ISL10075.11,4
PCO10013.1,GEK10062.2,2
PCO10013.1,GEK10042.1,2
GEK20042.2,GEK10033.1,1
GEK20042.2,GEK10022.2,1
PCO10058.8,PCO10012.3,6
PCO10058.8,GEK20053.1,2
PCO10058.8,PCO10024.2,8
PCO10058.8,ISL10075.11,6
PCO10058.8,PCO10012.4,2
PCO10058.8,ISL10075.7,4
PCO10058.8,GEK20011.1,1
PCO10058.8,PCO10013.4,2
PCO10058.8,GEK10062.2,14
PCO10058.8,GEK10059.3,2
PCO10058.8,PCO10013.2,4
PCO10058.8,GEK10000.2,2
PCO10058.8,GEK10060.1,2
PCO10058.8,GEK10042.1,8
PCO10058.8,ISL10075.2,2
GEK20011.3,GEK10045.14,2
PCO10058.5,GEK40096.1,2
PCO10058.5,PCO10012.5,8
PCO10058.5,ISL10075.8,2
PCO10058.5,PCO10012.8,4
PCO10058.5,PCO10013.3,2
PCO10058.5,GEK20042.2,2
PCO10058.5,GEK10038.3,1
PCO10058.5,ISL10075.4,4
PCO10058.4,GEK30046.1,2
PCO10058.4,GEK10062.2,4
PCO10058.4,ISL10075.2,8
PCO10058.4,ISL10075.7,2
PCO10058.4,PCO10012.4,4
PCO10058.4,GEK20011.1,1
PCO10058.4,GEK10096.3,10
PCO10058.4,PCO10024.2,4
PCO10058.4,GEK10042.1,12
ISL10075.11,GEK10038.1,1
GMP10001.2,GEK10062.2,2
GMP10001.2,PCO10058.9,2
GMP10001.2,ISL10075.7,2
GMP10001.3,PCO10058.15,2
PCO10058.6,PCO10012.6,4
PCO10058.6,GEK20044.1,1
UIL30051.1,PCO10024.2,2
UIL30051.1,ISL10075.11,4
UIL30051.1,GEK10059.3,2
UIL30051.1,ISL10075.7,4
UIL30051.1,GEK10042.1,4
GEK40096.1,GEK10045.14,2
PCO10024.1,GEK30046.1,2
PCO10024.1,GEK10062.2,2
PCO10024.1,ISL10074.1,2
PCO10024.1,PCO10012.4,2
PCO10024.1,GEK20011.1,3
PCO10024.1,GEK10096.3,6
PCO10024.1,PCO10013.2,2
PCO10024.1,GEK10000.2,2
PCO10024.1,GEK10060.1,2
PCO10024.1,GEK10042.1,14
GEK10096.1,GEK10062.1,2
GEK10096.1,GEK10057.3,2
PCO10024.2,PCO10013.3,2
PCO10024.2,GEK40096.2,1
PCO10024.2,PCO10012.5,2
PCO10012.4,ISL10075.8,6
PCO10012.4,ISL10075.4,2
